wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified
1,1,1,fueille,fueille,XVIII_1,N,N,,7s,---,'C/V\.C/(e)\
2,1,2,ne,ne,XVIII_1,Crd,Crd,ne2,7s,---,C/(e)\
3,1,3,flour,flour,XVIII_1,N,N,,7s,---,C/V\
4,1,4,ne,ne,XVIII_1,Crd,Crd,ne2,7s,---,C/(e)\
5,1,5,verdure,verdure,XVIII_1,N,N,,7s,---,C/e\.'C/V\.C/(e)\
6,2,1,ne,ne,XVIII_2,Crd,Crd,ne2,7s,---,C/(e)\
7,2,2,douceur,douceur,XVIII_2,N,N,,7s,---,C/V\.'C/V\
8,2,3,de,de,XVIII_2,Pre,Pre,de,7s,---,C/(e)\
9,2,4,temps,temps,XVIII_2,N,N,,7s,---,C/V\
10,2,5,pascour,pascour,XVIII_2,Adj,Adj,,7s,---,C/V\.'C/V\
11,3,1,ne,ne,XVIII_3,Crd,Crd,ne2,7s,---,C/(e)\
12,3,2,nulle,nulle,XVIII_3,QIs,QIs,nul,7s,---,'C/V\.C/(e)\
13,3,3,autre,autre,XVIII_3,Adj,Adj,autre,7s,---,'/V\.C/(e)\
14,3,4,creature,creature,XVIII_3,N,N,,7s,---,C/V\.C/V\.'C/V\.C/(e)\
15,3,5,",",",",XVIII_3,Pnc,Pnc,,7s,---,
16,4,1,fors,fors,XVIII_4,PrA,PrA,hors,7s,---,C/V\
17,4,2,vous,vous,XVIII_4,Prn,Prn,2pp,7s,---,C/V\
18,4,3,",",",",XVIII_4,Pnc,Pnc,,7s,---,
19,4,4,dame,dame,XVIII_4,N,N,,7s,---,'C/V\.C/(e)\
20,4,5,de,de,XVIII_4,Pre,Pre,de,7s,---,C/(e)\
21,4,6,valour,valour,XVIII_4,N,N,,7s,---,C/V\.'C/V\
22,4,7,",",",",XVIII_4,Pnc,Pnc,,7s,---,
23,5,1,ne,ne,XVIII_5,Neg,Neg,ne,7s,---,C/(e)\
24,5,2,pueent,pueent,XVIII_5,Vfin,Vfin,pouvoir2,7s,---,'C/V\./e\
25,5,3,mettre,mettre,XVIII_5,Vinf,Vinf,mettre,7s,---,'C/V\.C/(e)\
26,5,4,en,en,XVIII_5,Pre,Pre,en,7s,---,/V\
27,5,5,baudour,baudour,XVIII_5,N,N,,7s,---,C/V\.'C/V\
28,6,1,mon,mon,XVIII_6,Det,Det,mon,7s,---,C/V\
29,6,2,cuer,cuer,XVIII_6,N,N,,7s,---,C/V\
30,6,3,qui,qui,XVIII_6,Qux,Qux,qui,7s,---,C/V\
31,6,4,muert,muert,XVIII_6,Vfin,Vfin,mourir,7s,---,C/V\
32,6,5,par,par,XVIII_6,Pre,Pre,par,7s,---,C/V\
33,6,6,desir,desir,XVIII_6,N,N,,7s,---,C/V\.'C/V\
34,7,1,de,de,XVIII_7,Pre,Pre,de,7s,---,C/(e)\
35,7,2,vous,vous,XVIII_7,Prn,Prn,2pp,7s,---,C/V\
36,7,3,veoir,veoir,XVIII_7,Vinf,Vinf,voir,7s,---,C/(V)\.'/V\
37,7,4,et,et,XVIII_7,Crd,Crd,et,7s,---,/V\
38,7,5,oïr,oïr,XVIII_7,Vinf,Vinf,ouïr,7s,---,/V\.'C/V\
39,7,6,.,.,XVIII_7,Pnc,Pnc,,7s,---,
40,8,1,comment,comment,XVIII_8,Qux,Qux,comment,7s,---,C/V\.'C/V\
41,8,2,qu',qu',XVIII_8,Sub,Sub,que,7s,---,C/\
42,8,3,en,en,XVIII_8,Pre,Pre,en,7s,---,/V\
43,8,4,envoiseure,envoiseure,XVIII_8,N,N,,7s,---,/V\.C/V\.C/(V)\.'/V\.C/(e)\
44,9,1,en,en,XVIII_9,Prn,Prn$$,en2,7s,---,/V\
