wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified
53,l',l',PRO:pers,105,Prn,Prn$$,3p,C/\
54,ait,ait,VER,105,Vfin,Vfin,avoir,/V\
55,ataint,ataint,VER,105,Vpp,Vpp,atteindre,/V\.'C/V\
56,.,.,PON,105,Pnc,Pnc,,
57,Et,et,CON:coord,105,Crd,Crd,et,/V\
58,mout,mout,ADV,105,QIs,QIs,moult,C/V\
59,est,est,VER,105,Vfin,Vfin,être,/V\
60,liés,liés,VER,105,Adj,Adj,lié,C/V\
61,et,et,CON:coord,105,Crd,Crd,et,/V\
62,joians,joians,ADJ,105,Adj,Adj,,C/V\.'C/V\
63,en,en,PRO:clit,106,Pre,Pre,en,/V\
64,soi,soi,PRO:pers,106,Prn,Prn,soi,C/V\
65,meïsmes,meismes,VER,106,Adv,Adv,même,C/(V)\.'/V\.C/e\
66,de,de,PRE,106,Pre,Pre,de,C/(e)\
67,ce,ce,PRO:invar,106,Prn,Prn,ce,C/(e)\
68,k',k',PROCON,106,Sub,Sub,que,C/\
69,il,il,PRO:pers,106,Prn,Prn$,il,/V\
70,avoit,avoit,VER,106,Vfin,Vfin,avoir,/V\.'C/V\
71,si,si,DET:poss,106,Adv,Adv,si4,C/V\
72,biau,biau,ADJ,106,Adj,Adj,beau,C/V\
73,respons,respons,NOM,106,N,N,,C/V\.'C/V\
74,mandé,mandé,VER,106,Vpp,Vpp,mander,C/V\.'C/V\
75,a,a,PRE,106,Pre,Pre,à,/V\
76,monsigneur,monsigneur,NOM,107,N,N,,C/V\.C/V\.'C/V\
77,Tristran,tristran,NPR,107,N,N,,C/V\.'C/V\
78,et,et,CON:coord,107,Crd,Crd,et,/V\
79,de,de,PRE,107,Pre,Pre,de,C/(e)\
80,che,che,PRO:invar,107,Prn,Prn,ce,C/(e)\
81,k',k',PROCON,107,Sub,Sub,que,C/\
82,il,il,PRO:pers,107,Prn,Prn$,il,/V\
83,avoit,avoit,VER,107,Vfin,Vfin,avoir,/V\.'C/V\
84,",",",",PON,107,Pnc,Pnc,,
85,ce,ce,PRO:invar,107,Prn,Prn,ce,C/(e)\
86,li,li,PRO:pers,107,Prn,Prn$$,li,C/V\
87,estoit,estoit,VER,107,Vfin,Vfin,être,/V\.'C/V\
88,avis,avis,NOM,107,N,N,,/V\.'C/V\
89,",",",",PON,107,Pnc,Pnc,,
90,si,si,ADV,108,Adv,Adv,si4,C/V\
91,sajement,sajement,ADV,108,Adv,Adv,,C/V\.C/e\.'C/V\
92,respondu,respondu,VER,108,Vpp,Vpp,répondre,C/V\.C/V\.'C/V\
93,tout,tout,DET:ind,108,QIs,QIs,tout,C/V\
94,mot,mot,NOM,108,N,N,,C/V\
95,a,a,PRE,108,Pre,Pre,à,/V\
96,mot,mot,NOM,108,N,N,,C/V\
97,a,a,PRE,108,Pre,Pre,à,/V\
98,toutes,toutes,DET:ind,108,QIs,QIs,tout,'C/V\.C/e\
99,les,les,DET:def,108,Det,Det,le,C/V\
100,paroles,paroles,NOM,108,N,N,,C/V\.'C/V\.C/e\
101,de,de,PRE,109,Pre,Pre,de,C/(e)\
102,ses,ses,DET:poss,109,Det,Det,son4,C/V\
103,letres,letres,NOM,109,N,N,,'C/V\.C/e\
104,.,.,PON,109,Pnc,Pnc,,
105,Tout,tout,DET:ind,109,QIs,QIs,tout,C/V\
106,celui,celui,DET:demo,109,Dem,Dem,cil,C/V\.'C/V\
107,jour,jour,NOM,109,N,N,,C/V\
108,pensa,pensa,VER,109,Vfin,Vfin,penser,C/V\.'C/V\
109,tant,tant,ADV,109,QIs,QIs,tant,C/V\
110,Lanselos,lanselos,NPR,109,N,N,,C/V\.C/e\.'C/V\
111,a,a,PRE,109,Pre,Pre,à,/V\
112,monsigneur,monsigneur,NOM,109,N,N,,C/V\.C/V\.'C/V\
113,Tristran,tristran,NPR,110,N,N,,C/V\.'C/V\
114,k',k',PROCON,110,Sub,Sub,que,C/\
115,il,il,PRO:pers,110,Prn,Prn$,il,/V\
116,ne,ne,PRO:clit,110,Neg,Neg$$,ne,C/(e)\
117,pensa,pensa,VER,110,Vfin,Vfin,penser,C/V\.'C/V\
118,mie,mie,ADV,110,Neg,Neg,mie3,'C/V\./(e)\
119,granment,granment,ADV,110,Adv,Adv,,C/V\.'C/V\
120,a,a,PRE,110,Pre,Pre,à,/V\
121,autre,autre,ADJ,110,Adj,Adj,autre,'/V\.C/(e)\
122,cose,cose,NOM,110,N,N,,'C/V\.C/(e)\
123,.,.,PON,110,Pnc,Pnc,,
124,Au,au,PREDET:a,111,Pre+Det,Pre+Det,à.le,/V\
125,soir,soir,NOM,111,N,N,,C/V\
126,li,li,PRO:pers,111,Prn,Prn$$,li,C/V\
127,avint,avint,VER,111,Vfin,Vfin,avenir,/V\.'C/V\
128,en,en,PRE,111,Pre,Pre,en,/V\
129,tel,tel,ADJ,111,Adj,Adj,tel,C/V\
130,maniere,maniere,NOM,111,N,N,,C/V\.'C/V\.C/(e)\
131,que,que,PROCON,111,Sub,Sub,que,C/(e)\
132,ses,ses,DET:poss,111,Det,Det,son4,C/V\
133,chemins,chemins,NOM,111,N,N,,C/V\.'C/V\
134,l',l',PRO:pers,111,Prn,Prn$$,3p,C/\
135,aporta,aporta,VER,111,Vfin,Vfin,apporter,/V\.C/V\.'C/V\
136,droitement,droitement,ADV,112,Adv,Adv,,C/V\.C/e\.'C/V\
137,chiés,chiés,VER,112,Pre,Pre,chez,C/V\
138,le,le,DET:def,112,Det,Det,le,C/(e)\
139,preudoume,preudoume,NOM,112,N,N,,C/V\.'C/V\.C/(e)\
140,u,u,PROCON,112,Qux,Qux,où,/V\
141,chil,chil,PRO:demo,112,Dem,Dem,cil,C/V\
142,a,a,PRE,112,Pre,Pre,à,/V\
143,la,la,DET:def,112,Det,Det,le,C/V\
144,Cote,cote,NOM,112,N,N,,'C/V\.C/(e)\
145,Mautaillie,mautaillie,VER,112,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\
146,avoit,avoit,VER,113,Vfin,Vfin,avoir,/V\.'C/V\
147,le,le,DET:def,113,Det,Det,le,C/(e)\
148,soir,soir,NOM,113,N,N,,C/V\
149,devant,devant,PRE,113,PrA,PrA,devant,C/V\.'C/V\
150,geü,geü,VER,113,Vpp,Vpp,gésir,C/(V)\.'/V\
151,entre,entre,PRE,113,PrA,PrA,entre,'/V\.C/(e)\
152,lui,lui,PRO:pers,113,Prn,Prn,lui,C/V\
153,et,et,CON:coord,113,Crd,Crd,et,/V\
154,la,la,DET:def,113,Det,Det,le,C/V\
155,Damoisele,damoisele,NOM,113,N,N,,C/V\.C/V\.'C/V\.C/(e)\
156,Mesdisant,mesdisant,VER,114,Vprs,Vprs,médire,C/V\.C/V\.'C/V\
157,.,.,PON,114,Pnc,Pnc,,
158,Laiens,laiens,ADV,114,Adv,Adv,léans,C/V\.'C/V\
159,aprist,aprist,VER,114,Vfin,Vfin,apprendre,/V\.'C/V\
160,il,il,PRO:pers,114,Prn,Prn%,il,/V\
161,nouveles,nouveles,NOM,114,N,N,,C/V\.'C/V\.C/e\
162,de,de,PRE,114,Pre,Pre,de,C/(e)\
163,la,la,DET:def,114,Det,Det,le,C/V\
164,Damoisele,damoisele,NOM,114,N,N,,C/V\.C/V\.'C/V\.C/(e)\
165,Mesdisant,mesdisant,VER,115,Vprs,Vprs,médire,C/V\.C/V\.'C/V\
166,et,et,CON:coord,115,Crd,Crd,et,/V\
167,de,de,PRE,115,Pre,Pre,de,C/(e)\
168,celui,celui,PRO:demo,115,Dem,Dem,cil,C/V\.'C/V\
169,a,a,PRE,115,Pre,Pre,à,/V\
170,la,la,DET:def,115,Det,Det,le,C/V\
171,Cote,cote,NOM,115,N,N,,'C/V\.C/(e)\
172,Mautaillie,mautaillie,VER,115,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\
173,",",",",PON,115,Pnc,Pnc,,
174,car,car,CON:coord,115,Crd,Crd,car,C/V\
175,li,li,DET:def,115,Det,Det,le,C/V\
176,preudom,preudom,NOM,115,N,N,,C/V\.'C/V\
177,meïsmes,meismes,ADJ,116,Adv,Adv,même,C/(V)\.'/V\.C/e\
178,li,li,PRO:pers,116,Prn,Prn$$,li,C/V\
179,dist,dist,VER,116,Vfin,Vfin,dire,C/V\
180,k',k',PROCON,116,Sub,Sub,que,C/\
181,il,il,PRO:pers,116,Prn,Prn$,il,/V\
182,avoient,avoient,VER,116,Vfin,Vfin,avoir,/V\.'C/V\./e\
183,laiens,laiens,ADV,116,Adv,Adv,léans,C/V\.'C/V\
184,dormi,dormi,VER,116,Vpp,Vpp,dormir,C/V\.'C/V\
185,le,le,DET:def,116,Det,Det,le,C/(e)\
186,soir,soir,NOM,116,N,N,,C/V\
187,devant,devant,PRE,116,PrA,PrA,devant,C/V\.'C/V\
188,.,.,PON,116,Pnc,Pnc,,
189,A,a,PRE,117,Pre,Pre,à,/V\
190,l',l',DET:def,117,Det,Det,le,C/\
191,endemain,endemain,NOM,117,N,N,,/V\.C/e\.'C/V\
192,",",",",PON,117,Pnc,Pnc,,
193,auques,auques,ADV,117,Adv,Adv,auques,'/V\.C/e\
194,matin,matin,NOM,117,Adv,Adv,,C/V\.'C/V\
195,",",",",PON,117,Pnc,Pnc,,
196,Lanselos,lanselos,NPR,117,N,N,,C/V\.C/e\.'C/V\
197,se,se,PRO:pers,117,Prn,Prn$$,se,C/(e)\
198,lieve,lieve,VER,117,Vfin,Vfin,lever,'C/V\.C/(e)\
199,et,et,CON:coord,117,Crd,Crd,et,/V\
200,apareille,apareille,VER,117,Vfin,Vfin,,/V\.C/V\.'C/V\.C/(e)\
201,.,.,PON,117,Pnc,Pnc,,
202,Et,et,CON:coord,118,Crd,Crd,et,/V\
203,quant,quant,ADV,118,Sub,Sub,quand,C/V\
204,il,il,PRO:pers,118,Prn,Prn$,il,/V\
205,se,se,PRO:pers,118,Prn,Prn$$,se,C/(e)\
206,dut,dut,VER,118,Vfin,Vfin,devoir2,C/V\
207,de,de,PRE,118,Pre,Pre,de,C/(e)\
208,laiens,laiens,ADV,118,Adv,Adv,léans,C/V\.'C/V\
209,partir,partir,VER,118,Vinf,Vinf,partir,C/V\.'C/V\
210,entre,entre,PRE,118,PrA,PrA,entre,'/V\.C/(e)\
211,lui,lui,PRO:pers,118,Prn,Prn,lui,C/V\
212,et,et,CON:coord,118,Crd,Crd,et,/V\
213,ses,ses,DET:poss,118,Det,Det,son4,C/V\
214,esquiers,esquiers,NOM,119,N,N,,/V\.'C/V\
215,",",",",PON,119,Pnc,Pnc,,
216,tout,tout,DET:ind,119,QIs,QIs,tout,C/V\
217,autretel,autretel,ADJ,119,Adj,Adj,autretel,/V\.C/e\.'C/V\
218,proiiere,proiiere,NOM,119,N,N,,C/V\.'C/V\.C/(e)\
219,com,com,CON:subord,119,Sub,Sub,comme,C/V\
220,li,li,DET:def,119,Det,Det,le,C/V\
221,preudom,preudom,NOM,119,N,N,,C/V\.'C/V\
222,avoit,avoit,VER,119,Vfin,Vfin,avoir,/V\.'C/V\
223,faite,faite,VER,119,Vpp,Vpp,faire,'C/V\.C/(e)\
224,le,le,DET:def,120,Det,Det,le,C/(e)\
225,jour,jour,NOM,120,N,N,,C/V\
226,devant,devant,PRE,120,PrA,PrA,devant,C/V\.'C/V\
227,a,a,PRE,120,Pre,Pre,à,/V\
228,celui,celui,PRO:demo,120,Dem,Dem,cil,C/V\.'C/V\
229,a,a,PRE,120,Pre,Pre,à,/V\
230,la,la,DET:def,120,Det,Det,le,C/V\
231,Cote,cote,NOM,120,N,N,,'C/V\.C/(e)\
232,Mautaillie,mautaillie,VER,120,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\
233,pour,pour,PRE,120,Pre,Pre,pour,C/V\
234,son,son,DET:poss,120,Det,Det,son4,C/V\
235,fil,fil,NOM,120,N,N,,C/V\
236,fist,fist,VER,120,Vfin,Vfin,faire,C/V\
237,il,il,PRO:pers,121,Prn,Prn%,il,/V\
238,a,a,PRE,121,Pre,Pre,à,/V\
239,Lanselot,lanselot,NPR,121,N,N,,C/V\.C/e\.'C/V\
240,.,.,PON,121,Pnc,Pnc,,
241,Et,et,CON:coord,121,Crd,Crd,et,/V\
242,Lanselos,lanselos,NPR,121,N,N,,C/V\.C/e\.'C/V\
243,li,li,PRO:pers,121,Prn,Prn$$,li,C/V\
244,dist,dist,VER,121,Vfin,Vfin,dire,C/V\
245,k',k',PROCON,121,Sub,Sub,que,C/\
246,il,il,PRO:pers,121,Prn,Prn$,il,/V\
247,ne,ne,PRO:clit,121,Neg,Neg$$,ne,C/(e)\
248,toucheroit,toucheroit,VER,121,Vfin,Vfin,,C/V\.C/e\.'C/V\
249,a,a,PRE,121,Pre,Pre,à,/V\
250,son,son,DET:poss,121,Det,Det,son4,C/V\
251,fil,fil,NOM,122,N,N,,C/V\
252,",",",",PON,122,Pnc,Pnc,,
253,s',s',PRO:pers,122,Sub,Sub,si3,C/\
254,il,il,PRO:pers,122,Prn,Prn$,il,/V\
255,ne,ne,PRO:clit,122,Neg,Neg$$,ne,C/(e)\
256,veoit,veoit,VER,122,Vfin,Vfin,voir,C/(V)\.'/V\
257,abaissier,abaissier,VER,122,Vinf,Vinf,,/V\.C/V\.'C/V\
258,sa,sa,DET:poss,122,Det,Det,son4,C/V\
259,lance,lance,NOM,122,N,N,,'C/V\.C/(e)\
260,tout,tout,PRO:ind,122,QIs,QIs,tout,C/V\
261,apertement,apertement,ADV,122,Adv,Adv,,/V\.C/V\.C/e\.'C/V\
262,.,.,PON,122,Pnc,Pnc,,
263,«,«,PON:cit,122,Pnc,Pnc,,
264,Ha,ha,INT,122,Exc,Exc,,/V\
265,!,!,PON,122,Pnc,Pnc,,
266,pour,pour,PRE,123,Pre,Pre,pour,C/V\
267,Dieu,dieu,NOM,123,N,N,,C/V\
268,",",",",PON,123,Pnc,Pnc,,
269,sire,sire,NOM,123,N,N,,'C/V\.C/(e)\
270,",",",",PON,123,Pnc,Pnc,,
271,fait,fait,VER,123,Vfin,Vfin,faire,C/V\
272,li,li,DET:def,123,Det,Det,le,C/V\
273,peres,peres,NOM,123,N,N,,'C/V\.C/e\
274,",",",",PON,123,Pnc,Pnc,,
275,ce,ce,PRO:invar,123,Prn,Prn,ce,C/(e)\
276,est,est,VER,123,Vfin,Vfin,être,/V\
277,uns,uns,DET:ndf,123,QIs,QIs,un,/V\
278,jovenes,jovenes,ADJ,123,Adj,Adj,,'C/V\.C/e\
279,cevaliers,cevaliers,NOM,123,N,N,,C/V\.C/V\.'C/V\
280,et,et,CON:coord,124,Crd,Crd,et,/V\
281,non,non,ADV,124,Neg,Neg,ne,C/V\
282,mie,mie,ADV,124,Neg,Neg,mie3,'C/V\./(e)\
283,si,si,DET:poss,124,Adv,Adv,si4,C/V\
284,sages,sages,ADJ,124,Adj,Adj,sage,'C/V\.C/e\
285,ne,ne,PRO:clit,124,Crd,Crd,ne2,C/(e)\
286,si,si,DET:poss,124,Adv,Adv,si4,C/V\
287,amesurés,amesurés,VER,124,Vpp,Vpp,,/V\.C/V\.C/V\.'C/V\
288,com,com,CON:subord,124,Sub,Sub,comme,C/V\
289,mestiers,mestiers,NOM,124,N,N,,C/V\.'C/V\
290,li,li,PRO:pers,124,Prn,Prn$$,li,C/V\
291,seroit,seroit,VER,124,Vfin,Vfin,être,C/V\.'C/V\
292,.,.,PON,124,Pnc,Pnc,,
293,Ne,ne,PRO:clit,125,Neg,Neg$$,ne,C/(e)\
294,regardés,regardés,VER,125,Vfin,Vfin,regarder,C/V\.C/V\.'C/V\
295,pas,pas,NOM,125,Neg,Neg,pas,C/V\
296,a,a,PRE,125,Pre,Pre,à,/V\
297,se,se,DET:poss,125,Det,Det,son4,C/(e)\
298,folie,folie,NOM,125,N,N,,C/V\.'C/V\./(e)\
299,ne,ne,PRO:clit,125,Crd,Crd,ne2,C/(e)\
300,a,a,VER,125,Pre,Pre,à,/V\
301,ses,ses,DET:poss,125,Det,Det,son4,C/V\
302,nices,nices,ADJ,125,Adj,Adj,,'C/V\.C/e\
303,paroles,paroles,NOM,125,N,N,,C/V\.'C/V\.C/e\
304,",",",",PON,125,Pnc,Pnc,,
305,mais,mais,CON:coord,125,Crd,Crd,mais,C/V\
306,regardés,regardés,VER,126,Vfin,Vfin,regarder,C/V\.C/V\.'C/V\
307,a,a,PRE,126,Pre,Pre,à,/V\
308,vostre,vostre,DET:poss,126,Det,Det,votre,'C/V\.C/(e)\
309,sens,sens,NOM,126,N,N,,C/V\
310,et,et,CON:coord,126,Crd,Crd,et,/V\
311,a,a,PRE,126,Pre,Pre,à,/V\
312,vostre,vostre,PRO:poss,126,Det,Det,votre,'C/V\.C/(e)\
313,gentilleche,gentilleche,NIL,126,N,N,,C/V\.C/V\.'C/V\.C/(e)\
314,et,et,CON:coord,126,Crd,Crd,et,/V\
315,a,a,PRE,126,Pre,Pre,à,/V\
316,la,la,DET:def,126,Det,Det,le,C/V\
317,proiiere,proiiere,NOM,127,N,N,,C/V\.'C/V\.C/(e)\
318,que,que,PROCON,127,Qux,Qux,que,C/(e)\
319,je,je,PRO:pers,127,Prn,Prn$,je,C/(e)\
320,vous,vous,PRO:pers,127,Prn,Prn$$,2pp,C/V\
321,en,en,PRO:clit,127,Prn,Prn$$,en2,/V\
322,fas,fas,VER,127,Vfin,Vfin,faire,C/V\
323,!,!,PON,127,Pnc,Pnc,,
324,—,—,PON,127,Pnc,Pnc,,
325,Biaus,biaus,ADJ,127,Adj,Adj,beau,C/V\
326,ostes,ostes,NOM,127,N,N,,'/V\.C/e\
327,",",",",PON,127,Pnc,Pnc,,
328,fait,fait,VER,127,Vfin,Vfin,faire,C/V\
329,Lanselos,lanselos,NPR,127,N,N,,C/V\.C/e\.'C/V\
330,",",",",PON,127,Pnc,Pnc,,
331,or,or,ADV,128,Adv,Adv,or2,/V\
332,sachiés,sachiés,VER,128,Vfin,Vfin,savoir,C/V\.'C/V\
333,tout,tout,PRO:ind,128,QIs,QIs,tout,C/V\
334,vraiement,vraiement,ADV,128,Adv,Adv,,C/V\.C/(V)\.'/V\
335,que,que,PROCON,128,Sub,Sub,que,C/(e)\
336,ja,ja,ADV,128,Adv,Adv,jà,C/V\
337,a,a,PRE,128,Pre,Pre,à,/V\
338,vostre,vostre,DET:poss,128,Det,Det,votre,'C/V\.C/(e)\
339,fil,fil,NOM,128,N,N,,C/V\
340,ne,ne,PRO:clit,128,Neg,Neg$$,ne,C/(e)\
341,metrai,metrai,VER,128,Vfin,Vfin,mettre,C/V\.'C/V\
342,main,main,NOM,129,N,N,,C/V\
343,",",",",PON,129,Pnc,Pnc,,
344,se,se,DET:poss,129,Sub,Sub,si3,C/(e)\
345,grant,grant,ADJ,129,Adj,Adj,grand,C/V\
346,besoingne,besoingne,NOM,129,N,N,,C/V\.'C/V\.C/(e)\
347,ne,ne,PRO:clit,129,Neg,Neg$$,ne,C/(e)\
348,le,le,PRO:pers,129,Prn,Prn$$,3p,C/(e)\
349,me,me,PRO:pers,129,Prn,Prn$$,1ps,C/(e)\
350,faisoit,faisoit,VER,129,Vfin,Vfin,faire,C/V\.'C/V\
351,faire,faire,VER,129,Vinf,Vinf,faire,'C/V\.C/(e)\
352,u,u,PROCON,129,Qux,Qux,où,/V\
353,il,il,PRO:pers,129,Prn,Prn$,il,/V\
354,ne,ne,PRO:clit,129,Neg,Neg$$,ne,C/(e)\
355,me,me,PRO:pers,129,Prn,Prn$$,1ps,C/(e)\
356,faisoit,faisoit,VER,130,Vfin,Vfin,faire,C/V\.'C/V\
357,tel,tel,ADJ,130,Adj,Adj,tel,C/V\
358,outrage,outrage,NOM,130,N,N,,/V\.'C/V\.C/(e)\
359,que,que,PROCON,130,Qux,Qux,que,C/(e)\
360,chevaliers,chevaliers,NOM,130,N,N,,C/V\.C/V\.'C/V\
361,nel,nel,PROCON,130,Neg+Prn,Neg$$+Prn$$,ne.le,C/V\
362,deüst,deust,VER,130,Vfin,Vfin,devoir2,C/(V)\.'/V\
363,souffrir,souffrir,VER,130,Vinf,Vinf,souffrir,C/V\.'C/V\
364,.,.,PON,130,Pnc,Pnc,,
365,»,»,PON:cit,130,Pnc,Pnc,,
366,Et,et,CON:coord,130,Crd,Crd,et,/V\
367,li,li,DET:def,130,Det,Det,le,C/V\
368,preudom,preudom,NOM,131,N,N,,C/V\.'C/V\
369,le,le,PRO:pers,131,Prn,Prn$$,3p,C/(e)\
370,merchie,merchie,VER,131,Vfin,Vfin,,C/V\.'C/V\./(e)\
371,mout,mout,ADV,131,QIs,QIs,moult,C/V\
372,durement,durement,ADV,131,Adv,Adv,,C/V\.C/e\.'C/V\
373,de,de,PRE,131,Pre,Pre,de,C/(e)\
374,cele,cele,DET:demo,131,Dem,Dem,cil,'C/V\.C/(e)\
375,proumesse,proumesse,NOM,131,N,N,,C/V\.'C/V\.C/(e)\
376,.,.,PON,131,Pnc,Pnc,,
377,Atant,atant,ADV,132,Adv,Adv,atant,/V\.'C/V\
378,le,le,PRO:pers,132,Prn,Prn$$,3p,C/(e)\
379,conmande,conmande,VER,132,Vfin,Vfin,commander,C/V\.'C/V\.C/(e)\
380,a,a,PRE,132,Pre,Pre,à,/V\
381,Nostre,nostre,DET:poss,132,Det,Det,notre,'C/V\.C/(e)\
382,Signeur,signeur,NOM,132,N,N,,C/V\.'C/V\
383,",",",",PON,132,Pnc,Pnc,,
384,si,si,ADV,132,Adv,Adv,si4,C/V\
385,li,li,PRO:pers,132,Prn,Prn$$,li,C/V\
386,enseigne,enseigne,VER,132,Vfin,Vfin,,/V\.'C/V\.C/(e)\
387,adont,adont,ADV,132,Adv,Adv,adonc,/V\.'C/V\
388,la,la,DET:def,133,Det,Det,le,C/V\
389,plus,plus,ADV,133,Adv,Adv,plus,C/V\
390,droite,droite,ADJ,133,Adj,Adj,droit2,'C/V\.C/(e)\
391,voie,voie,NOM,133,N,N,,'C/V\./(e)\
392,k',k',PROCON,133,Qux,Qux,que,C/\
393,il,il,PRO:pers,133,Prn,Prn$,il,/V\
394,puet,puet,VER,133,Vfin,Vfin,pouvoir2,C/V\
395,tenir,tenir,VER,133,Vinf,Vinf,tenir,C/V\.'C/V\
396,vers,vers,PRE,133,Pre,Pre,vers2,C/V\
397,Sorelois,sorelois,NPR,133,N,N,,C/V\.C/e\.'C/V\
398,",",",",PON,133,Pnc,Pnc,,
399,ensi,ensi,ADV,133,Adv,Adv,ainsi,/V\.'C/V\
400,com,com,CON:subord,133,Sub,Sub,comme,C/V\
401,il,il,PRO:pers,133,Prn,Prn$,il,/V\
402,l',l',PRO:pers,134,Prn,Prn$$,3p,C/\
403,avoit,avoit,VER,134,Vfin,Vfin,avoir,/V\.'C/V\
404,enseignie,enseignie,VER,134,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\
405,a,a,PRE,134,Pre,Pre,à,/V\
406,celui,celui,PRO:demo,134,Dem,Dem,cil,C/V\.'C/V\
407,a,a,PRE,134,Pre,Pre,à,/V\
408,la,la,DET:def,134,Det,Det,le,C/V\
409,Cote,cote,NOM,134,N,N,,'C/V\.C/(e)\
410,Mautaillie,mautaillie,VER,134,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\
411,.,.,PON,134,Pnc,Pnc,,
412,Quant,quant,ADV,201,Sub,Sub,quand,C/V\
413,Lanselos,lanselos,NPR,201,N,N,,C/V\.C/e\.'C/V\
414,se,se,PRO:pers,201,Prn,Prn$$,se,C/(e)\
415,fu,fu,VER,201,Vfin,Vfin,être,C/V\
416,partis,partis,VER,201,Vpp,Vpp,partir,C/V\.'C/V\
417,du,du,PREDET:de,201,Pre+Det,Pre+Det,de.le,C/V\
418,preudoume,preudoume,NOM,201,N,N,,C/V\.'C/V\.C/(e)\
419,a,a,VER,201,Pre,Pre,à,/V\
420,qui,qui,PROCON,201,Qux,Qux,qui,C/V\
421,il,il,PRO:pers,202,Prn,Prn$,il,/V\
422,avoit,avoit,VER,202,Vfin,Vfin,avoir,/V\.'C/V\
423,faite,faite,VER,202,Vpp,Vpp,faire,'C/V\.C/(e)\
424,la,la,DET:def,202,Det,Det,le,C/V\
425,proumesse,proumesse,NOM,202,N,N,,C/V\.'C/V\.C/(e)\
426,tele,tele,ADJ,202,Adj,Adj,tel,'C/V\.C/(e)\
