wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,Environ,environ,516,PrA,PrA,environ,/V\.C/V\.'C/V\
2,l',l',516,Det,Det,le,C/\
3,aube,aube,516,N,N,,'/V\.C/(e)\
4,du,du,516,Pre+Det,Pre+Det,de.le,C/V\
5,jour,jour,516,N,N,,C/V\
6,",",",",516,Pnc,Pnc,,
7,lors,lors,516,Adv,Adv,lors,C/V\
8,que,que,516,Sub,Sub,que,C/(e)\
9,la,la,516,Det,Det,le,C/V\
10,premiere,premiere,516,Adj,Adj,premier,C/V\.C/<V>\.'/V\.C/(e)\
11,clarté,clarté,516,N,N,,C/V\.'C/V\
12,du,du,516,Pre+Det,Pre+Det,de.le,C/V\
13,soleil,soleil,517,N,N,,C/V\.'C/V\
14,et,et,517,Crd,Crd,et,/V\
15,nature,nature,517,N,N,,C/V\.'C/V\.C/(e)\
16,contente,contente,517,Adj,Adj,,C/V\.'C/V\.C/(e)\
17,du,du,517,Pre+Det,Pre+Det,de.le,C/V\
18,repos,repos,517,N,N,,C/V\.'C/V\
19,de,de,517,Pre,Pre,de,C/(e)\
20,la,la,517,Det,Det,le,C/V\
21,nuit,nuit,517,N,N,,C/V\
22,nous,nous,517,Prn,Prn$$,nous,C/V\
23,rappellent,rappellent,517,Vfin,Vfin,rappeler,C/V\.'C/V\.C/e\
24,aux,aux,518,Pre+Det,Pre+Det,à.le,/V\
25,mondains,mondains,518,Adj,Adj,,C/V\.'C/V\
26,labours,labours,518,N,N,,C/V\.'C/V\
27,",",",",518,Pnc,Pnc,,
28,n',n',518,Neg,Neg$$,ne,C/\
29,a,a,518,Vfin,Vfin,avoir,/V\
30,gaires,gaires,518,Adv,Adv,guère,'C/V\.C/e\
31,me,me,518,Prn,Prn$$,me,C/(e)\
32,trouvay,trouvay,518,Vfin,Vfin,trouver,C/V\.'C/V\
33,soudainement,soudainement,518,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
34,esveillié,esveillié,519,Vpp,Vpp,,/V\.C/V\.'C/V\
35,et,et,519,Crd,Crd,et,/V\
36,",",",",519,Pnc,Pnc,,
37,ainsi,ainsi,519,Adv,Adv,ainsi,/V\.'C/V\
38,que,que,519,Sub,Sub,que,C/(e)\
39,a,a,519,Pre,Pre,à,/V\
40,l',l',519,Det,Det,le,C/\
41,entendement,entendement,519,N,N,,/V\.C/V\.C/e\.'C/V\
42,aprés,aprés,519,PrA,PrA,après,/V\.'C/V\
43,repos,repos,519,N,N,,C/V\.'C/V\
44,se,se,519,Prn,Prn$$,se,C/(e)\
45,presente,presente,519,Vfin,Vfin,présenter,C/V\.'C/V\.C/(e)\
46,ce,ce,520,Prn,Prn,ce,C/(e)\
47,que,que,520,Qux,Qux,que,C/(e)\
48,l',l',520,Det,Det,le,C/\
49,en,en,520,Prn,Prn$,on,/V\
50,a,a,520,Vfin,Vfin,avoir,/V\
51,plus,plus,520,Adv,Adv,plus,C/V\
52,a,a,520,Pre,Pre,à,/V\
53,cuer,cuer,520,N,N,,C/V\
54,",",",",520,Pnc,Pnc,,
55,me,me,520,Prn,Prn$$,me,C/(e)\
56,vint,vint,520,Vfin,Vfin,venir,C/V\
57,en,en,520,Pre,Pre,en,/V\
58,ymaginacion,ymaginacion,520,N,N,,C/V\.C/V\.C/V\.C/V\.C/{V}\.'/V\
59,la,la,520,Det,Det,le,C/V\
60,douloureuse,douloureuse,521,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\
61,fortune,fortune,521,N,N,,C/V\.'C/V\.C/(e)\
62,et,et,521,Crd,Crd,et,/V\
63,le,le,521,Det,Det,le,C/(e)\
64,piteux,piteux,521,Adj,Adj,,C/V\.'C/V\
65,estat,estat,521,N,N,,/V\.'C/V\
66,de,de,521,Pre,Pre,de,C/(e)\
67,la,la,521,Det,Det,le,C/V\
68,haulte,haulte,521,Adj,Adj,haut,'C/V\.C/(e)\
69,seigneurie,seigneurie,521,N,N,,C/V\.C/V\.'C/V\./(e)\
70,et,et,522,Crd,Crd,et,/V\
71,glorieuse,glorieuse,522,Adj,Adj,,C/V\.C/{V}\.'/V\.C/(e)\
72,maison,maison,522,N,N,,C/V\.'C/V\
73,de,de,522,Pre,Pre,de,C/(e)\
74,France,france,522,N,N,,'C/V\.C/(e)\
75,",",",",522,Pnc,Pnc,,
76,qui,qui,522,Qux,Qux,qui,C/V\
77,entre,entre,522,PrA,PrA,entre,'/V\.C/(e)\
78,destruction,destruction,522,N,N,,C/V\.C/V\.C/{V}\.'/V\
79,et,et,522,Crd,Crd,et,/V\
80,ressource,ressource,522,N,N,,C/V\.'C/V\.C/(e)\
81,chancelle,chancelle,523,Vfin,Vfin,chanceler,C/V\.'C/V\.C/(e)\
82,douloureusement,douloureusement,523,Adv,Adv,,C/V\.C/V\.C/V\.C/e\.'C/V\
83,soubz,soubz,523,Pre,Pre,sous,C/V\
84,la,la,523,Det,Det,le,C/V\
85,main,main,523,N,N,,C/V\
86,de,de,523,Pre,Pre,de,C/(e)\
87,Dieu,dieu,523,N,N,,C/V\
88,",",",",523,Pnc,Pnc,,
89,ainsi,ainsi,524,Adv,Adv,ainsi,/V\.'C/V\
90,que,que,524,Sub,Sub,que,C/(e)\
91,la,la,524,Det,Det,le,C/V\
92,divine,divine,524,Adj,Adj,,C/V\.'C/V\.C/(e)\
93,puissance,puissance,524,N,N,,C/V\.'C/V\.C/(e)\
94,l',l',524,Prn,Prn$$,le,C/\
95,a,a,524,Vfin,Vfin,avoir,/V\
96,souffert,souffert,524,Vpp,Vpp,souffrir,C/V\.'C/V\
97,.,.,524,Pnc,Pnc,,
98,Et,et,524,Crd,Crd,et,/V\
99,comme,comme,524,Sub,Sub,comme,'C/V\.C/(e)\
100,je,je,524,Prn,Prn$,je,C/(e)\
101,recueillisse,recueillisse,525,Vfin,Vfin,recueillir,C/V\.C/V\.'C/V\.C/(e)\
102,en,en,525,Pre,Pre,en,/V\
103,ma,ma,525,Det,Det,mon,C/V\
104,souvenance,souvenance,525,N,N,,C/V\.C/e\.'C/V\.C/(e)\
105,la,la,525,Det,Det,le,C/V\
106,puissance,puissance,525,N,N,,C/V\.'C/V\.C/(e)\
107,et,et,525,Crd,Crd,et,/V\
108,diligence,diligence,525,N,N,,C/V\.C/V\.'C/V\.C/(e)\
109,des,des,525,Pre+Det,Pre+Det,de.le,C/V\
110,ennemis,ennemis,526,N,N,,/V\.C/e\.'C/V\
111,",",",",526,Pnc,Pnc,,
112,la,la,526,Det,Det,le,C/V\
113,desloiaulté,desloiaulté,526,N,N,,C/V\.C/V\.C/V\.'C/V\
114,de,de,526,Pre,Pre,de,C/(e)\
115,plusieurs,plusieurs,526,QIs,QIs,plusieurs,C/V\.'C/V\
116,subgiez,subgiez,526,N,N,,C/V\.'C/V\
117,et,et,526,Crd,Crd,et,/V\
118,la,la,526,Det,Det,le,C/V\
119,perte,perte,526,N,N,,'C/V\.C/(e)\
120,des,des,526,Pre+Det,Pre+Det,de.le,C/V\
121,princes,princes,527,N,N,,'C/V\.C/e\
122,et,et,527,Crd,Crd,et,/V\
123,chevallerie,chevallerie,527,N,N,,C/V\.C/V\.C/V\.'C/V\./(e)\
124,",",",",527,Pnc,Pnc,,
125,dont,dont,527,Qux,Qux,dont,C/V\
126,Dieu,dieu,527,N,N,,C/V\
127,",",",",527,Pnc,Pnc,,
128,par,par,527,Pre,Pre,par,C/V\
129,maleureuse,maleureuse,527,Adj,Adj,,C/V\.C/(V)\./V\.'C/V\.C/(e)\
130,bataille,bataille,527,N,N,,C/V\.'C/V\.C/(e)\
131,",",",",527,Pnc,Pnc,,
132,a,a,528,Vfin,Vfin,avoir,/V\
133,laissié,laissié,528,Vpp,Vpp,laisser,C/V\.'C/V\
134,ce,ce,528,Dem,Dem,cist,C/(e)\
135,royaume,royaume,528,N,N,,C/V\.'C/V\.C/(e)\
136,desgarny,desgarny,528,Vpp,Vpp,,C/V\.C/V\.'C/V\
137,",",",",528,Pnc,Pnc,,
138,qui,qui,528,Qux,Qux,qui,C/V\
139,me,me,528,Prn,Prn$$,me,C/(e)\
140,fait,fait,528,Vfin,Vfin,faire,C/V\
141,durement,durement,528,Adv,Adv,,C/V\.C/e\.'C/V\
142,ressongnier,ressongnier,528,Vinf,Vinf,,C/V\.C/V\.'C/V\
143,l',l',529,Det,Det,le,C/\
144,issue,issue,529,N,N,,/V\.'C/V\./(e)\
145,de,de,529,Pre,Pre,de,C/(e)\
146,ceste,ceste,529,Dem,Dem,cist,'C/V\.C/(e)\
147,infortune,infortune,529,N,N,,/V\.C/V\.'C/V\.C/(e)\
148,",",",",529,Pnc,Pnc,,
149,je,je,529,Prn,Prn$,je,C/(e)\
150,contrepensoye,contrepensoye,529,Vfin,Vfin,,C/V\.C/e\.C/V\.'C/V\./(e)\
151,et,et,529,Crd,Crd,et,/V\
152,pensoye,pensoye,529,Vfin,Vfin,penser,C/V\.'C/V\./(e)\
153,a,a,530,Pre,Pre,à,/V\
154,l',l',530,Det,Det,le,C/\
155,encontre,encontre,530,PrA,PrA,encontre,/V\.'C/V\.C/(e)\
156,la,la,530,Det,Det,le,C/V\
157,grandeur,grandeur,530,N,N,,C/V\.'C/V\
158,et,et,530,Crd,Crd,et,/V\
159,distance,distance,530,N,N,,C/V\.'C/V\.C/(e)\
160,des,des,530,Pre+Det,Pre+Det,de.le,C/V\
161,parties,parties,530,N,N,,C/V\.'C/V\./e\
162,de,de,530,Pre,Pre,de,C/(e)\
163,ce,ce,530,Dem,Dem,cist,C/(e)\
164,dit,dit,601,Vpp,Vpp,dire,C/V\
165,royaume,royaume,601,N,N,,C/V\.'C/V\.C/(e)\
166,dont,dont,601,Qux,Qux,dont,C/V\
167,les,les,601,Det,Det,le,C/V\
168,ennemis,ennemis,601,N,N,,/V\.C/e\.'C/V\
169,ne,ne,601,Neg,Neg$$,ne,C/(e)\
170,suffiroient,suffiroient,601,Vfin,Vfin,suffire,C/V\.C/V\.'C/V\./e\
171,garder,garder,601,Vinf,Vinf,garder,C/V\.'C/V\
172,le,le,601,Det,Det,le,C/(e)\
173,quart,quart,601,Adj,Adj,quart,C/V\
174,",",",",601,Pnc,Pnc,,
175,le,le,602,Det,Det,le,C/(e)\
176,merveilleux,merveilleux,602,Adj,Adj,,C/V\.C/V\.'C/V\
177,nombre,nombre,602,N,N,,'C/V\.C/(e)\
178,des,des,602,Pre+Det,Pre+Det,de.le,C/V\
179,nobles,nobles,602,Adj,Adj,noble,'C/V\.C/e\
180,et,et,602,Crd,Crd,et,/V\
181,gens,gens,602,N,N,,C/V\
182,deffensables,deffensables,602,Adj,Adj,,C/V\.C/V\.'C/V\.C/e\
183,qui,qui,602,Qux,Qux,qui,C/V\
184,trouver,trouver,603,Vinf,Vinf,trouver,C/V\.'C/V\
185,s',s',603,Prn,Prn$$,se,C/\
186,i,i,603,Prn,Prn$$,y,/V\
187,pourroient,pourroient,603,Vfin,Vfin,pouvoir,C/V\.'C/V\./e\
188,",",",",603,Pnc,Pnc,,
189,les,les,603,Det,Det,le,C/V\
190,haultes,haultes,603,Adj,Adj,haut,'C/V\.C/e\
191,richesses,richesses,603,N,N,,C/V\.'C/V\.C/e\
192,qui,qui,603,Qux,Qux,qui,C/V\
193,encores,encores,603,Adv,Adv,encore,/V\.'C/V\.C/e\
194,y,y,603,Prn,Prn$$,y,/V\
195,abondent,abondent,604,Vfin,Vfin,,/V\.'C/V\.C/e\
196,en,en,604,Pre,Pre,en,/V\
197,pluseurs,pluseurs,604,QIs,QIs,plusieurs,C/V\.'C/V\
198,lieux,lieux,604,N,N,,C/V\
199,",",",",604,Pnc,Pnc,,
200,les,les,604,Det,Det,le,C/V\
201,subtilz,subtilz,604,Adj,Adj,,C/V\.'C/V\
