wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref,tei_right,tei_left
1,1,1,la,la,XXIV(IIp536)_1,Det,Det,le,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 1",,"<text><body><pb n=&quot;536&quot;/><div type=&quot;chapter&quot; n=&quot;Poésies religeuses et parodies, no 24&quot;><head>Les noeuf preux de gourmandise</head><lg type=&quot;stanza&quot;><l n=&quot;1&quot;>"
2,1,2,bible,bible,XXIV(IIp536)_1,N,N,bible,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 1",,
3,1,3,fait,fait,XXIV(IIp536)_1,Vfin,Vfin,faire,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 1",,
4,1,4,mention,mention,XXIV(IIp536)_1,N,N,mention,7s,---,C/V\.C/{V}\.'/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 1",</l>,
5,2,1,de,de,XXIV(IIp536)_2,Pre,Pre,de,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 2",,<l n=&quot;2&quot;>
6,2,2,l',l',XXIV(IIp536)_2,Det,Det,le,7s,---,C/\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 2",,
7,2,3,extreme,extreme,XXIV(IIp536)_2,Adj,Adj,extrême,7s,---,/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 2",,
8,2,4,vaillantise,vaillantise,XXIV(IIp536)_2,N,N,vaillantise,7s,---,C/V\.C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 2",,
9,3,1,que,que,XXIV(IIp536)_3,Qux,Qux,que,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 3",</l>,
10,3,2,noef,noef,XXIV(IIp536)_3,QIs,QIs,neuf,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 3",,<l n=&quot;3&quot;>
11,3,3,preux,preux,XXIV(IIp536)_3,Adj,Adj,preux,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 3",,
12,3,4,de,de,XXIV(IIp536)_3,Pre,Pre,de,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 3",,
13,3,5,gourmandise,gourmandise,XXIV(IIp536)_3,N,N,gourmandise,7s,---,C/V\.C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 3",</l>,
14,4,1,firent,firent,XXIV(IIp536)_4,Vfin,Vfin,faire,7s,---,'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 4",,<l n=&quot;4&quot;>
15,4,2,par,par,XXIV(IIp536)_4,Pre,Pre,par,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 4",,
16,4,3,potation,potation,XXIV(IIp536)_4,N,N,potation,7s,---,C/V\.C/V\.C/{V}\.'/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 4",,
17,4,4,.,.,XXIV(IIp536)_4,Pnc,Pnc,.,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 4",</l></lg>,
18,5,1,je,je,XXIV(IIp536)_5,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 5",,<lg type=&quot;stanza&quot;><head>Genesis primo</head><l n=&quot;5&quot;>
19,5,2,suis,suis,XXIV(IIp536)_5,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 5",,
20,5,3,noel,noel,XXIV(IIp536)_5,Adj,Adj,Noël,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 5",,
21,5,4,qui,qui,XXIV(IIp536)_5,Qux,Qux,qui,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 5",,
22,5,5,plantay,plantay,XXIV(IIp536)_5,Vfin,Vfin,planter,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 5",</l>,
23,6,1,la,la,XXIV(IIp536)_6,Det,Det,le,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",,<l n=&quot;6&quot;>
24,6,2,vigne,vigne,XXIV(IIp536)_6,N,N,vigne,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",,
25,6,3,aprés,aprés,XXIV(IIp536)_6,PrA,PrA,après,7s,---,/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",,
26,6,4,le,le,XXIV(IIp536)_6,Det,Det,le,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",,
