wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,ore,ore,ADV,1,Adv,Adv,or2,'/V\.C/(e)\
2,1,2,oez,oez,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\
3,1,3,tuit,tuit,PRO:ind:suj:masc:pl,1,QIs,QIs,tout,C/V\
4,1,4,communement,communement,ADV,1,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
5,2,1,gardez,gardez,VER:impe:2:pl,2,Vfin,Vfin,garder,C/V\.'C/V\
6,2,2,qu,qu,PROCON,2,Sub,Sub,que,C/\
7,2,3,i,i,PRO:pers:suj:3:masc:sg:unb,2,Prn,Prn$,3p,/V\
8,2,4,n,n,PRO:clit,2,Neg,Neg$$,ne1,C/\
9,2,5,i,i,PRO:clit,2,Prn,Prn$$,y,/V\
10,2,6,ait,ait,VER:subp:3:sg,2,Vfin,Vfin,avoir1,/V\
11,2,7,pallement,pallement,NOM:obj:masc:sg,2,N,N,,C/V\.C/e\.'C/V\
12,3,1,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\
13,3,2,passion,passion,NOM:obj:femi:sg,3,N,N,,C/V\.C/V\.'C/V\
14,3,3,dieu,dieu,NOM:obj:masc:sg,3,N,N,,C/V\
15,3,4,entendez,entendez,VER:impe:2:pl,3,Vfin,Vfin,entendre,/V\.C/V\.'C/V\
16,4,1,comment,comment,ADV,4,Qux,Qux,comment,C/V\.'C/V\
17,4,2,il,il,PRO:pers:suj:3:masc:sg:unb,4,Prn,Prn$,3p,/V\
18,4,3,fu,fu,VER:simp:3:sg,4,Vfin,Vfin,être1|ester,C/V\
19,4,4,pour,pour,PRE,4,Pre,Pre,pour,C/V\
20,4,5,nous,nous,PRO:pers:1:pl,4,Prn,Prn,1pp,C/V\
21,4,6,penez,penez,VER:pper:masc:pl,4,Vpp,Vpp,pener,C/V\.'C/V\
22,5,1,ne,ne,PRO:clit,5,Neg,Neg$$,ne1,C/(e)\
23,5,2,le,le,PRO:pers:obj:3:masc:sg:unb,5,Prn,Prn$$,3p,C/(e)\
24,5,3,doit,doit,VER:pres:3:sg,5,Vfin,Vfin,devoir2,C/V\
25,5,4,oïr,oïr,VER:infi,5,Vinf,Vinf,ouïr,/V\.'C/V\
26,5,5,creature,creature,NOM:suj:femi:sg,5,N,N,,C/V\.C/V\.'C/V\.C/(e)\
