wd_id,line_id,linewd,word,lemma,lemma_gold,lemma_score,lex_id,textlineid,syntag,syntag2,syllabified,pos
1,1,1,renommee,,renommée,3,renommee,25,N,N,C/V\.C/V\.'C/V\./(e)\,NOUN
2,1,2,par,par,par,8,par,25,Pre,Pre,C/V\,ADP
3,1,3,fais,,fait,3,fais,25,N,N,C/V\,NOUN
4,1,4,eureux,,heureux,9,eureux,25,Adj,Adj,/(V)\./V\.'C/V\,ADJ
5,1,5,",",,",",9,",",25,Pnc,Pnc,,PUNCT
6,2,1,quant,quand,quand,8,quant,26,Sub,Sub,C/V\,SCONJ
7,2,2,nous,nous,nous,8,nous,26,Prn,Prn$,C/V\,PRON
8,2,3,avons,avoir,avoir,9,avons,26,Vfin,Vfin,/V\.'C/V\,VERB
9,2,4,ce,cist,ce,9,ce,26,Dem,Dem,C/(e)\,DET
10,2,5,maleureux,,malheureux,9,maleureux,26,Adj,Adj,C/V\.C/(V)\./V\.'C/V\,ADJ
11,3,1,arphaxat,,Arphazat,2,arphaxat,27,N,N,/V\.C/V\.'C/V\,PROPN
12,3,2,du,de.le,de.le,8,du,27,Pre+Det,Pre+Det,C/V\,ADP.DET
13,3,3,tout,tout,tout,8,tout,27,QIs,QIs,C/V\,PRON
14,3,4,desconfit,déconfire,déconfire,8,desconfit,27,Vpp,Vpp,C/V\.C/V\.'C/V\,VERB
15,3,5,",",,",",9,",",27,Pnc,Pnc,,PUNCT
16,4,1,et,et,et,8,et,28,Crd,Crd,/V\,CCONJ
17,4,2,par,par,par,8,par,28,Pre,Pre,C/V\,ADP
18,4,3,conduit,,conduit,8,conduit,28,N,N,C/V\.'C/V\,NOUN
19,4,4,chevalereux,,chevalereux,4,chevalereux,28,Adj,Adj,C/V\.C/V\.C/e\.'C/V\,NOUN
20,5,1,son,son4,son,7,son,29,Det,Det,C/V\,DET
21,5,2,royaulme,,royaume,9,royaulme,29,N,N,C/V\.'C/V\.C/(e)\,NOUN
22,5,3,craintif,,craintif,9,craintif,29,Adj,Adj,C/V\.'C/V\,ADJ
23,5,4,",",,",",9,",",29,Pnc,Pnc,,PUNCT
24,5,5,paoureux,,peureux,9,paoureux,29,Adj,Adj,C/(V)\./V\.'C/V\,ADJ
25,5,6,",",,",",9,",",29,Pnc,Pnc,,PUNCT
26,6,1,s',se,se,8,s',30,Prn,Prn$$,C/\,PRON
27,6,2,est,être,être,3,est,30,Vfin,Vfin,/V\,VERB
28,6,3,rendu,rendre,rendre,8,rendu,30,Vpp,Vpp,C/V\.'C/V\,VERB
29,6,4,sans,sans,sans,8,sans,30,Pre,Pre,C/V\,ADP
30,6,5,nul,nul,nul,4,nul,30,QIs,QIs,C/V\,DET
31,6,6,contredit,,contredit,8,contredit,30,N,N,C/V\.C/e\.'C/V\,NOUN
32,6,7,.,,.,9,.,30,Pnc,Pnc,,PUNCT
33,7,1,tout,tout,tout,8,tout,31,QIs,QIs,C/V\,PRON
34,7,2,obeist,,obéir,9,obeist,31,Vfin,Vfin,/V\.C/(V)\.'/V\,VERB
35,7,3,a,à,à,8,a,31,Pre,Pre,/V\,ADP
36,7,4,nostre,notre,notre,7,nostre,31,Det,Det,'C/V\.C/(e)\,DET
37,7,5,esdit,,édit,3,esdit,31,N,N,/V\.'C/V\,NOUN
38,7,6,.,,.,9,.,31,Pnc,Pnc,,PUNCT
39,8,1,sur,sur,sur,8,sur,32,PrA,PrA,C/V\,ADP
40,8,2,tous,tout,tous,8,tous,32,QIs,QIs,C/V\,DET
41,8,3,vivans,vivre,vivre,8,vivans,32,Vprs,Vprs,C/V\.'C/V\,VERB
42,8,4,avons,avoir,avoir,9,avons,32,Vfin,Vfin,/V\.'C/V\,VERB
