wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
1,1,1,Maint,maint,1,QIs,QIs,C/V\,maint
2,1,2,ont,ont,1,Vfin,Vfin,/V\,avoir
3,1,3,mis,mis,1,Vpp,Vpp,C/V\,mettre
4,1,4,leur,leur,1,Det,Det,C/V\,leur
5,1,5,temps,temps,1,N,N,C/V\,temps
6,1,6,et,et,1,Crd,Crd,/V\,et
7,1,7,leur,leur,1,Det,Det,C/V\,leur
8,1,8,cures,cures,1,N,N,'C/V\.C/e\,cure
9,2,1,En,en,2,Pre,Pre,/V\,en
10,2,2,fables,fables,2,N,N,'C/V\.C/e\,fable
11,2,3,dire,dire,2,Vinf,Vinf,'C/V\.C/(e)\,dire
12,2,4,et,et,2,Crd,Crd,/V\,et
13,2,5,aventures,aventures,2,N,N,/V\.C/V\.'C/V\.C/e\,aventure
14,2,6,;,;,2,Pnc,Pnc,,;
15,3,1,Li,li,3,Det,Det,C/V\,le
16,3,2,uns,uns,3,QIs,QIs,/V\,un
17,3,3,dit,dit,3,Vfin,Vfin,C/V\,dire
18,3,4,bourdes,bourdes,3,N,N,'C/V\.C/e\,bourde
19,3,5,",",",",3,Pnc,Pnc,,","
20,3,6,l',l',3,Det,Det,C/\,le
21,3,7,autre,autre,3,Adj,Adj,'/V\.C/(e)\,autre
22,3,8,voir,voir,3,N,N,C/V\,voir
23,3,9,",",",",3,Pnc,Pnc,,","
24,4,1,Si,si,4,Adv,Adv,C/V\,si
25,4,2,com,com,4,Sub,Sub,C/V\,comme
26,4,3,il,il,4,Prn,Prn$,/V\,il
27,4,4,sevent,sevent,4,Vfin,Vfin,'C/V\.C/e\,savoir
28,4,5,concevoir,concevoir,4,Vinf,Vinf,C/V\.C/e\.'C/V\,concevoir
29,4,6,;,;,4,Pnc,Pnc,,;
30,5,1,Li,li,5,Det,Det,C/V\,le
31,5,2,uns,uns,5,QIs,QIs,/V\,un
32,5,3,de,de,5,Pre,Pre,C/(e)\,de
33,5,4,Gauvain,gauvain,5,N,N,C/V\.'C/V\,Gauvain
34,5,5,nous,nous,5,Prn,Prn$$,C/V\,nous
35,5,6,raconte,raconte,5,Vfin,Vfin,C/V\.'C/V\.C/(e)\,raconter
36,5,7,",",",",5,Pnc,Pnc,,","
37,6,1,L',l',6,Det,Det,C/\,le
38,6,2,autre,autre,6,Adj,Adj,'/V\.C/(e)\,autre
39,6,3,de,de,6,Pre,Pre,C/(e)\,de
40,6,4,Tristan,tristan,6,N,N,C/V\.'C/V\,Tristan
41,6,5,fet,fet,6,Vfin,Vfin,C/V\,faire
42,6,6,son,son,6,Det,Det,C/V\,son
43,6,7,conte,conte,6,N,N,'C/V\.C/(e)\,conte
44,6,8,;,;,6,Pnc,Pnc,,;
45,7,1,Li,li,7,Det,Det,C/V\,le
46,7,2,uns,uns,7,QIs,QIs,/V\,un
47,7,3,d',d',7,Pre,Pre,C/\,de
48,7,4,Yaumont,yaumont,7,N,N,/V\.'C/V\,Yaumont
49,7,5,et,et,7,Crd,Crd,/V\,et
50,7,6,d',d',7,Pre,Pre,C/\,de
51,7,7,Agoulant,agoulant,7,N,N,/V\.C/V\.'C/V\,Agoulant
52,7,8,",",",",7,Pnc,Pnc,,","
53,8,1,L',l',8,Det,Det,C/\,le
54,8,2,autre,autre,8,Adj,Adj,'/V\.C/(e)\,autre
55,8,3,d',d',8,Pre,Pre,C/\,de
56,8,4,Olivier,olivier,8,N,N,/V\.C/V\.'C/V\,Olivier
57,8,5,",",",",8,Pnc,Pnc,,","
58,8,6,de,de,8,Pre,Pre,C/(e)\,de
59,8,7,Rollant,rollant,8,N,N,C/V\.'C/V\,Roland
60,8,8,",",",",8,Pnc,Pnc,,","
61,9,1,De,de,9,Pre,Pre,C/(e)\,de
62,9,2,Perceval,perceval,9,N,N,C/V\.C/e\.'C/V\,Perceval
63,9,3,",",",",9,Pnc,Pnc,,","
64,9,4,de,de,9,Pre,Pre,C/(e)\,de
65,9,5,Lancelot,lancelot,9,N,N,C/V\.C/e\.'C/V\,Lancelot
66,9,6,;,;,9,Pnc,Pnc,,;
67,10,1,De,de,10,Pre,Pre,C/(e)\,de
68,10,2,Robichon,robichon,10,N,N,C/V\.C/V\.'C/V\,Robichon
69,10,3,et,et,10,Crd,Crd,/V\,et
70,10,4,d',d',10,Pre,Pre,C/\,de
71,10,5,Amelot,amelot,10,N,N,/V\.C/e\.'C/V\,Amelot
72,11,1,Li,li,11,Det,Det,C/V\,le
73,11,2,auquant,auquant,11,Prn,Prn,/V\.'C/V\,auquant
74,11,3,chantent,chantent,11,Vfin,Vfin,'C/V\.C/e\,chanter
75,11,4,pastourelles,pastourelles,11,N,N,C/V\.C/V\.'C/V\.C/e\,pastourelle
76,11,5,;,;,11,Pnc,Pnc,,;
77,12,1,Li,li,12,Det,Det,C/V\,le
78,12,2,autre,autre,12,Adj,Adj,'/V\.C/(e)\,autre
79,12,3,dïent,dient,12,Vfin,Vfin,'C/V\./e\,dire
80,12,4,en,en,12,Pre,Pre,/V\,en
81,12,5,vïelles,vielles,12,N,N,C/<V>\.'/V\.C/e\,vielle
82,13,1,Chançons,chançons,13,N,N,C/V\.'C/V\,chanson
83,13,2,royaus,royaus,13,Adj,Adj,C/V\.'C/V\,royal
84,13,3,et,et,13,Crd,Crd,/V\,et
85,13,4,estempies,estempies,13,N,N,/V\.C/V\.'C/V\./e\,estampie
86,13,5,",",",",13,Pnc,Pnc,,","
87,14,1,Dances,dances,14,N,N,'C/V\.C/e\,danse
88,14,2,",",",",14,Pnc,Pnc,,","
89,14,3,noctes,noctes,14,N,N,'C/V\.C/e\,note
90,14,4,et,et,14,Crd,Crd,/V\,et
91,14,5,baleriez,baleriëz,14,N,N,C/V\.C/e\.'C/V\./e\,ballerie
92,14,6,",",",",14,Pnc,Pnc,,","
93,15,1,En,en,15,Prn,Prn$$,/V\,en
94,15,2,leüst,leust,15,Vfin,Vfin,C/(V)\.'/V\,lire
95,15,3,",",",",15,Pnc,Pnc,,","
96,15,4,en,en,15,Pre,Pre,/V\,en
97,15,5,psalterion,psalterion,15,N,N,C/V\.C/e\.C/{V}\.'/V\,psaltérion
98,15,6,",",",",15,Pnc,Pnc,,","
99,16,1,Chascun,chascun,16,QIs,QIs,C/V\.'C/V\,chacun
100,16,2,selonc,selonc,16,PrA,PrA,C/V\.'C/V\,selon
101,16,3,s',s',16,Det,Det,C/\,son
102,16,4,entencion,entencion,16,N,N,/V\.C/V\.C/{V}\.'/V\,entention
103,16,5,",",",",16,Pnc,Pnc,,","
104,17,1,Lais,lais,17,N,N,C/V\,lai
105,17,2,d',d',17,Pre,Pre,C/\,de
106,17,3,amours,amours,17,N,N,/V\.'C/V\,amour
107,17,4,",",",",17,Pnc,Pnc,,","
108,17,5,descors,descors,17,N,N,C/V\.'C/V\,discord
109,17,6,et,et,17,Crd,Crd,/V\,et
110,17,7,balades,balades,17,N,N,C/V\.'C/V\.C/e\,ballade
111,17,8,",",",",17,Pnc,Pnc,,","
112,18,1,Pour,pour,18,Pre,Pre,C/V\,pour
113,18,2,esbatre,esbatre,18,Vinf,Vinf,/V\.'C/V\.C/(e)\,ébattre
114,18,3,ces,ces,18,Dem,Dem,C/V\,cist
115,18,4,genz,genz,18,N,N,C/V\,gent
116,18,5,malades,malades,18,Adj,Adj,C/V\.'C/V\.C/e\,malade
117,18,6,.,.,18,Pnc,Pnc,,.
118,19,1,En,en,19,Pre,Pre,/V\,en
119,19,2,tiex,tiex,19,Adj,Adj,C/V\,tel
120,19,3,trufles,trufles,19,N,N,'C/V\.C/e\,truffe
121,19,4,leur,leur,19,Det,Det,C/V\,leur
122,19,5,temps,temps,19,N,N,C/V\,temps
123,19,6,despendent,despendent,19,Vfin,Vfin,C/V\.'C/V\.C/e\,dépendre
124,19,7,",",",",19,Pnc,Pnc,,","
125,20,1,Qu',qu',20,Sub,Sub,C/\,que
126,20,2,a,a,20,Pre,Pre,/V\,à
127,20,3,nule,nule,20,QIs,QIs,'C/V\.C/(e)\,nul
128,20,4,autre,autre,20,Adj,Adj,'/V\.C/(e)\,autre
129,20,5,chose,chose,20,N,N,'C/V\.C/(e)\,chose
130,20,6,n',n',20,Neg,Neg$$,C/\,ne
131,20,7,entendent,entendent,20,Vfin,Vfin,/V\.'C/V\.C/e\,entendre
132,20,8,;,;,20,Pnc,Pnc,,;
133,21,1,Et,et,21,Crd,Crd,/V\,et
134,21,2,non,non,21,Neg,Neg,C/V\,ne
135,21,3,pour,pour,21,Pre,Pre,C/V\,pour
136,21,4,quant,quant,21,Qux,Qux,C/V\,quant
137,21,5,sont,sont,21,Vfin,Vfin,C/V\,être
138,21,6,apeléz,apelez,21,Vpp,Vpp,/V\.C/e\.'C/V\,appeler
139,21,7,",",",",21,Pnc,Pnc,,","
140,22,1,Es,es,22,Pre+Det,Pre+Det,/V\,en.le
141,22,2,grans,grans,22,Adj,Adj,C/V\,grand
142,22,3,liex,liex,22,N,N,C/V\,lieu
143,22,4,",",",",22,Pnc,Pnc,,","
144,22,5,et,et,22,Crd,Crd,/V\,et
145,22,6,bien,bien,22,Adv,Adv,C/V\,bien
146,22,7,osteléz,ostelez,22,Vpp,Vpp,/V\.C/e\.'C/V\,hosteler
147,22,8,",",",",22,Pnc,Pnc,,","
148,23,1,Comment,comment,23,Qux,Qux,C/V\.'C/V\,comment
149,23,2,qu',qu',23,Sub,Sub,C/\,que
150,23,3,a,a,23,Pre,Pre,/V\,à
151,23,4,l',l',23,Det,Det,C/\,le
152,23,5,ame,ame,23,N,N,'/V\.C/(e)\,âme
