wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified
1,1,1,dame,dame,2601,N,N,dame,7s,---,'C/V\.C/(e)\
2,1,2,",",",",2601,Pnc,Pnc,",",7s,---,
3,1,3,vos,vos,2601,Det,Det,votre,7s,---,C/V\
4,1,4,hom,hom,2601,N,N,homme,7s,---,/V\
5,1,5,vous,vous,2601,Prn,Prn$$,vous,7s,---,C/V\
6,1,6,estrine,estrine,2601,Vfin,Vfin,étrenner,7s,---,/V\.'C/V\.C/(e)\
7,2,1,d',d',2602,Pre,Pre,de,7s,---,C/\
8,2,2,une,une,2602,QIs,QIs,un,7s,---,'/V\.C/(e)\
9,2,3,nouvele,nouvele,2602,Adj,Adj,nouveau,7s,---,C/V\.'C/V\.C/(e)\
10,2,4,canchon,canchon,2602,N,N,chanson,7s,---,C/V\.'C/V\
11,2,5,:,:,2602,Pnc,Pnc,:,7s,---,
12,3,1,or,or,2603,Adv,Adv,or2,7s,---,/V\
13,3,2,venrai,venrai,2603,Vfin,Vfin,venir,7s,---,C/V\.'C/V\
14,3,3,a,a,2603,Pre,Pre,à,7s,---,/V\
15,3,4,vostre,vostre,2603,Det,Det,votre,7s,---,'C/V\.C/(e)\
16,3,5,don,don,2603,N,N,don,7s,---,C/V\
17,4,1,se,se,2604,Sub,Sub,si3,7s,---,C/(e)\
18,4,2,courtoissie,courtoissie,2604,N,N,courtoisie,7s,---,C/V\.C/V\.'C/V\./(e)\
19,4,3,i,i,2604,Prn,Prn$$,y2,7s,---,/V\
20,4,4,est,est,2604,Vfin,Vfin,être,7s,---,/V\
21,4,5,fine,fine,2604,Adj,Adj,fin2,7s,---,'C/V\.C/(e)\
22,4,6,?,?,2604,Pnc,Pnc,?,7s,---,
23,5,1,je,je,2605,Prn,Prn$,je,7s,---,C/(e)\
24,5,2,vous,vous,2605,Prn,Prn$$,vous,7s,---,C/V\
25,5,3,aim,aim,2605,Vfin,Vfin,aimer,7s,---,/V\
26,5,4,sans,sans,2605,Pre,Pre,sans,7s,---,C/V\
27,5,5,traison,traison,2605,N,N,trahison,7s,---,C/V\.C/V\.'C/V\
28,5,6,—,—,2605,Pnc,Pnc,—,7s,---,
29,6,1,a,a,2606,Pre,Pre,à,7s,---,/V\
30,6,2,tort,tort,2606,N,N,tort,7s,---,C/V\
31,6,3,m',m',2606,Prn,Prn$$,me,7s,---,C/\
32,6,4,en,en,2606,Prn,Prn$$,en2,7s,---,/V\
33,6,5,portés,portés,2606,Vfin,Vfin,porter,7s,---,C/V\.'C/V\
34,6,6,querine,querine,2606,N,N,corine,7s,---,C/V\.'C/V\.C/(e)\
35,6,7,",",",",2606,Pnc,Pnc,",",7s,---,
36,7,1,car,car,2607,Crd,Crd,car,7s,---,C/V\
37,7,2,com,com,2607,Sub,Sub,comme,7s,---,C/V\
38,7,3,plus,plus,2607,Adv,Adv,plus,7s,---,C/V\
39,7,4,avés,avés,2607,Vfin,Vfin,avoir,7s,---,/V\.'C/V\
40,7,5,fuison,fuison,2607,N,N,foison,7s,---,C/V\.'C/V\
41,8,1,de,de,2608,Pre,Pre,de,7s,---,C/(e)\
42,8,2,biauté,biauté,2608,N,N,beauté,7s,---,C/V\.'C/V\
43,8,3,sans,sans,2608,Pre,Pre,sans,7s,---,C/V\
44,8,4,mesprison,mesprison,2608,N,N,méprison,7s,---,C/V\.C/V\.'C/V\
45,8,5,",",",",2608,Pnc,Pnc,",",7s,---,
46,9,1,plus,plus,2609,Adv,Adv,plus,7s,---,C/V\
47,9,2,fort,fort,2609,Adj,Adj,fort,7s,---,C/V\
48,9,3,cuers,cuers,2609,N,N,coeur,7s,---,C/V\
49,9,4,s',s',2609,Prn,Prn$$,se,7s,---,C/\
50,9,5,i,i,2609,Prn,Prn$$,y2,7s,---,/V\
51,9,6,enracine,enracine,2609,Vfin,Vfin,enraciner,7s,---,/V\.C/V\.'C/V\.C/(e)\
52,9,7,.,.,2609,Pnc,Pnc,.,7s,---,
53,10,1,tel,tel,2610,Adj,Adj,tel,7s,---,C/V\
54,10,2,don,don,2610,N,N,don,7s,---,C/V\
55,10,3,doit,doit,2610,Vfin,Vfin,devoir2,7s,---,C/V\
56,10,4,une,une,2610,QIs,QIs,un,7s,---,'/V\.C/(e)\
57,10,5,roine,roine,2610,N,N,reine,7s,---,C/V\.'C/V\.C/(e)\
58,11,1,pardoner,pardoner,2611,Vinf,Vinf,pardonner,7s,---,C/V\.C/V\.'C/V\
59,11,2,a,a,2611,Pre,Pre,à,7s,---,/V\
60,11,3,un,un,2611,QIs,QIs,un,7s,---,/V\
61,11,4,garçon,garçon,2611,N,N,garçon,7s,---,C/V\.'C/V\
62,11,5,",",",",2611,Pnc,Pnc,",",7s,---,
63,12,1,k',k',2612,Sub,Sub,que,7s,---,C/\
64,12,2,en,en,2612,Pre,Pre,en,7s,---,/V\
65,12,3,cuer,cuer,2612,N,N,coeur,7s,---,C/V\
66,12,4,n',n',2612,Neg,Neg,ne,7s,---,C/\
67,12,5,a,a,2612,Vfin,Vfin,avoir,7s,---,/V\
68,12,6,point,point,2612,Neg,Neg,point2,7s,---,C/V\
69,12,7,de,de,2612,Pre,Pre,de,7s,---,C/(e)\
70,12,8,raison,raison,2612,N,N,raison,7s,---,C/V\.'C/V\
71,13,1,u,u,2613,Crd,Crd,ou,7s,---,/V\
72,13,2,amours,amours,2613,N,N,amour,7s,---,/V\.'C/V\
73,13,3,met,met,2613,Vfin,Vfin,mettre,7s,---,C/V\
74,13,4,se,se,2613,Det,Det,son4,7s,---,C/(e)\
75,13,5,saisine,saisine,2613,N,N,saisine,7s,---,C/V\.'C/V\.C/(e)\
76,13,6,.,.,2613,Pnc,Pnc,.,7s,---,
77,14,1,ja,ja,2614,Adv,Adv,jà,7s,---,C/V\
78,14,2,si,si,2614,Adv,Adv,si4,7s,---,C/V\
79,14,3,tost,tost,2614,Adv,Adv,tôt,7s,---,C/V\
80,14,4,n',n',2614,Neg,Neg,ne,7s,---,C/\
81,14,5,ameroit,ameroit,2614,Vfin,Vfin,aimer,7s,---,/V\.C/e\.'C/V\
82,14,6,on,on,2614,Prn,Prn%,on,7s,---,/V\
83,15,1,une,une,2615,QIs,QIs,un,7s,---,'/V\.C/(e)\
84,15,2,caitive,caitive,2615,Adj,Adj,chétif,7s,---,C/V\.'C/V\.C/(e)\
85,15,3,meskine,meskine,2615,N,N,meschine,7s,---,C/V\.'C/V\.C/(e)\
86,16,1,maigre,maigre,2616,Adj,Adj,maigre,7s,---,'C/V\.C/(e)\
87,16,2,et,et,2616,Crd,Crd,et,7s,---,/V\
88,16,3,de,de,2616,Pre,Pre,de,7s,---,C/(e)\
89,16,4,male,male,2616,Adj,Adj,mal2,7s,---,'C/V\.C/(e)\
90,16,5,boiçon,boiçon,2616,N,N,boisson,7s,---,C/V\.'C/V\
91,16,6,",",",",2616,Pnc,Pnc,",",7s,---,
92,17,1,c',c',2617,Sub,Sub,que,7s,---,C/\
93,17,2,une,une,2617,QIs,QIs,un,7s,---,'/V\.C/(e)\
94,17,3,de,de,2617,Pre,Pre,de,7s,---,C/(e)\
95,17,4,clere,clere,2617,Adj,Adj,clair,7s,---,'C/V\.C/(e)\
96,17,5,façon,façon,2617,N,N,façon,7s,---,C/V\.'C/V\
97,17,6,",",",",2617,Pnc,Pnc,",",7s,---,
98,18,1,blance,blance,2618,Adj,Adj,blanc,7s,---,'C/V\.C/(e)\
99,18,2,",",",",2618,Pnc,Pnc,",",7s,---,
100,18,3,riant,riant,2618,Vprs,Vprs,rire,7s,---,C/V\.'C/V\
101,18,4,et,et,2618,Crd,Crd,et,7s,---,/V\
102,18,5,rosine,rosine,2618,Adj,Adj,rosin,7s,---,C/V\.'C/V\.C/(e)\
103,18,6,.,.,2618,Pnc,Pnc,.,7s,---,
104,19,1,en,en,2619,Pre,Pre,en,7s,---,/V\
105,19,2,vous,vous,2619,Prn,Prn,vous,7s,---,C/V\
106,19,3,ai,ai,2619,Vfin,Vfin,avoir,7s,---,/V\
107,19,4,mis,mis,2619,Vpp,Vpp,mettre,7s,---,C/V\
108,19,5,de,de,2619,Pre,Pre,de,7s,---,C/(e)\
109,19,6,ravine,ravine,2619,N,N,ravine,7s,---,C/V\.'C/V\.C/(e)\
110,20,1,cuer,cuer,2620,N,N,coeur,7s,---,C/V\
111,20,2,et,et,2620,Crd,Crd,et,7s,---,/V\
112,20,3,cors,cors,2620,N,N,corps,7s,---,C/V\
113,20,4,",",",",2620,Pnc,Pnc,",",7s,---,
114,20,5,vie,vie,2620,N,N,vie,7s,---,'C/V\./(e)\
115,20,6,et,et,2620,Crd,Crd,et,7s,---,/V\
116,20,7,renon,renon,2620,N,N,renom,7s,---,C/V\.'C/V\
117,20,8,:,:,2620,Pnc,Pnc,:,7s,---,
118,21,1,coi,coi,2621,Qux,Qux,que,7s,---,C/V\
119,21,2,que,que,2621,Qux,Qux,que,7s,---,C/(e)\
120,21,3,soit,soit,2621,Vfin,Vfin,être,7s,---,C/V\
121,21,4,de,de,2621,Pre,Pre,de,7s,---,C/(e)\
122,21,5,gerredon,gerredon,2621,N,N,guerdon,7s,---,C/V\.C/e\.'C/V\
123,21,6,",",",",2621,Pnc,Pnc,",",7s,---,
124,22,1,jou,jou,2622,Prn,Prn$,je,7s,---,C/V\
125,22,2,n',n',2622,Neg,Neg,ne,7s,---,C/\
126,22,3,ai,ai,2622,Vfin,Vfin,avoir,7s,---,/V\
127,22,4,mais,mais,2622,Adv,Adv,mais,7s,---,C/V\
128,22,5,qui,qui,2622,Qux,Qux,qui,7s,---,C/V\
129,22,6,pour,pour,2622,Pre,Pre,pour,7s,---,C/V\
130,22,7,mi,mi,2622,Prn,Prn,moi,7s,---,C/V\
131,22,8,fine,fine,2622,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\
132,22,9,.,.,2622,Pnc,Pnc,.,7s,---,
133,23,1,tout,tout,2623,QIs,QIs,tout,7s,---,C/V\
134,23,2,ai,ai,2623,Vfin,Vfin,avoir,7s,---,/V\
135,23,3,mis,mis,2623,Vpp,Vpp,mettre,7s,---,C/V\
136,23,4,en,en,2623,Pre,Pre,en,7s,---,/V\
137,23,5,abandon,abandon,2623,N,N,abandon,7s,---,/V\.C/V\.'C/V\
138,23,6,",",",",2623,Pnc,Pnc,",",7s,---,
139,24,1,et,et,2624,Crd,Crd,et,7s,---,/V\
140,24,2,s',s',2624,Adv,Adv,si4,7s,---,C/\
141,24,3,iestes,iestes,2624,Vfin,Vfin,être,7s,---,'/V\.C/e\
142,24,4,aillours,aillours,2624,Adv,Adv,ailleurs,7s,---,/V\.'C/V\
143,24,5,encline,encline,2624,Adj,Adj,enclin,7s,---,/V\.'C/V\.C/(e)\
144,24,6,",",",",2624,Pnc,Pnc,",",7s,---,
145,25,1,car,car,2625,Crd,Crd,car,7s,---,C/V\
146,25,2,jou,jou,2625,Prn,Prn$,je,7s,---,C/V\
147,25,3,truis,truis,2625,Vfin,Vfin,trouver,7s,---,C/V\
148,25,4,samblant,samblant,2625,N,N,semblant,7s,---,C/V\.'C/V\
149,25,5,felon,felon,2625,Adj,Adj,félon,7s,---,C/V\.'C/V\
150,26,1,et,et,2626,Crd,Crd,et,7s,---,/V\
151,26,2,oevre,oevre,2626,N,N,oeuvre,7s,---,'/V\.C/e\
152,26,3,de,de,2626,Pre,Pre,de,7s,---,C/(e)\
153,26,4,guenelon,guenelon,2626,N,N,Guenelon,7s,---,C/V\.C/e\.'C/V\
154,26,5,:,:,2626,Pnc,Pnc,:,7s,---,
155,27,1,autres,autres,2627,Adj,Adj,autre,7s,---,'/V\.C/e\
156,27,2,got,got,2627,Vfin,Vfin,jouir,7s,---,C/V\
157,27,3,dont,dont,2627,Qux,Qux,dont,7s,---,C/V\
158,27,4,j',j',2627,Prn,Prn$,je,7s,---,C/\
159,27,5,ai,ai,2627,Vfin,Vfin,avoir,7s,---,/V\
160,27,6,famine,famine,2627,N,N,famine,7s,---,C/V\.'C/V\.C/(e)\
161,27,7,.,.,2627,Pnc,Pnc,.,7s,---,
162,28,1,he,he,2628,Exc,Exc,hé,7s,---,C/V\
163,28,2,!,!,2628,Pnc,Pnc,!,7s,---,
164,28,3,las,las,2628,Adj,Adj,las,7s,---,C/V\
165,28,4,",",",",2628,Pnc,Pnc,",",7s,---,
166,28,5,j',j',2628,Prn,Prn$,je,7s,---,C/\
167,28,6,ai,ai,2628,Vfin,Vfin,avoir,7s,---,/V\
168,28,7,a,a,2628,Pre,Pre,à,7s,---,/V\
169,28,8,boune,boune,2628,Adj,Adj,bon,7s,---,'C/V\.C/(e)\
170,28,9,estrine,estrine,2628,N,N,étrenne,7s,---,/V\.'C/V\.C/(e)\
171,29,1,le,le,2629,Det,Det,le,7s,---,C/(e)\
172,29,2,cunkiét,cunkiét,2629,N,N,congé,7s,---,C/V\.C/V\.'C/V\
173,29,3,du,du,2629,Pre+Det,Pre+Det,de.le,7s,---,C/V\
174,29,4,baston,baston,2629,N,N,bâton,7s,---,C/V\.'C/V\
175,29,5,",",",",2629,Pnc,Pnc,",",7s,---,
176,30,1,quant,quant,2630,Sub,Sub,quand,7s,---,C/V\
177,30,2,je,je,2630,Prn,Prn$,je,7s,---,C/(e)\
178,30,3,vous,vous,2630,Prn,Prn$$,vous,7s,---,C/V\
179,30,4,di,di,2630,Vfin,Vfin,dire,7s,---,C/V\
180,30,5,a,a,2630,Pre,Pre,à,7s,---,/V\
181,30,6,bandon,bandon,2630,N,N,bandon,7s,---,C/V\.'C/V\
182,31,1,de,de,2631,Pre,Pre,de,7s,---,C/(e)\
183,31,2,men,men,2631,Det,Det,mon,7s,---,C/V\
184,31,3,cuer,cuer,2631,N,N,coeur,7s,---,C/V\
185,31,4,tout,tout,2631,QIs,QIs,tout,7s,---,C/V\
186,31,5,le,le,2631,Det,Det,le,7s,---,C/(e)\
187,31,6,couvine,couvine,2631,N,N,convine,7s,---,C/V\.'C/V\.C/(e)\
188,32,1,pour,pour,2632,Pre,Pre,pour,7s,---,C/V\
189,32,2,venir,venir,2632,Vinf,Vinf,venir,7s,---,C/V\.'C/V\
190,32,3,a,a,2632,Pre,Pre,à,7s,---,/V\
191,32,4,garison,garison,2632,N,N,guérison,7s,---,C/V\.C/V\.'C/V\
192,32,5,.,.,2632,Pnc,Pnc,.,7s,---,
193,33,1,vo,vo,2633,Det,Det,votre,7s,---,C/V\
194,33,2,bouce,bouce,2633,N,N,bouche,7s,---,'C/V\.C/(e)\
195,33,3,a,a,2633,Pre,Pre,à,7s,---,/V\
196,33,4,dire,dire,2633,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\
197,33,5,ne,ne,2633,Neg,Neg,ne,7s,---,C/(e)\
198,33,6,fine,fine,2633,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\
199,34,1,que,que,2634,Sub,Sub,que,7s,---,C/(e)\
200,34,2,ja,ja,2634,Adv,Adv,jà,7s,---,C/V\
201,34,3,n',n',2634,Neg,Neg,ne,7s,---,C/\
202,34,4,arai,arai,2634,Vfin,Vfin,avoir,7s,---,/V\.'C/V\
203,34,5,se,se,2634,Sub,Sub,si3,7s,---,C/(e)\
204,34,6,mal,mal,2634,N,N,mal,7s,---,C/V\
205,34,7,non,non,2634,NVP,NVP,non,7s,---,C/V\
206,35,1,et,et,2635,Crd,Crd,et,7s,---,/V\
207,35,2,que,que,2635,Sub,Sub,que,7s,---,C/(e)\
208,35,3,tout,tout,2635,QIs,QIs,tout,7s,---,C/V\
209,35,4,perc,perc,2635,Vfin,Vfin,perdre,7s,---,C/V\
210,35,5,mon,mon,2635,Det,Det,mon,7s,---,C/V\
