lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified
_1,v,y,n,,,/V\
_2,v,n,n,,,C/V\
-,,>,n,,,
--,,>,n,,,
–,,>,n,,,
—,,>,n,,,
―,,>,n,,,
",",,>,n,,,
;,,>,n,,,
:,,>,n,,,
!,,>,n,,,
?,,>,n,,,
.,,>,n,,,
...,,>,n,,,
…,,>,n,,,
.c.,v,n,n,,,C/V\
.cc.,vv,n,n,Err:509,,C/V\.'C/V\
.ccc.,vv,n,n,Err:509,,C/V\.'C/V\
.e.,v,n,n,,,C/V\
.i.,v,y,n,,,/V\
.ii.,v,n,n,,,C/V\
.iii.,v,n,n,#NAME?,,C/V\
.iii.x.,vv,n,n,Err:509,,C/V\.'C/V\
.iiic.,vv,n,n,,,C/V\.'C/V\
.iiii.,vs,y,y,#NAME?,,'/V\./(e)\
.iiij.,vs,n,y,,,'C/V\./(e)\
.iiijxx.,vsv,n,n,'=quatre-vingts,,C/V\.C/e\.'C/V\
.iij.,v,n,n,,,C/V\
.ij.,v,n,n,#NAME?,,C/V\
.iv.,vs,n,y,,,'C/V\.C/(e)\
.ix.,v,n,n,,,C/V\
.j.,v,y,n,#NAME?,,/V\
.l.,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.lx,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.lx.,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.m.,vs,n,y,#NAME?,,'C/V\.C/(e)\
.n.,v,n,n,,,C/V\
.v.,v,n,n,,,C/V\
.v.c.,vv,n,n,,,C/V\.'C/V\
.ve.,vvvs,n,y,'=cinquieme,,C/V\.C/V\.'C/V\.C/(e)\
.vi.,v,n,n,,,C/V\
.vii.,v,n,n,,,C/V\
.vii.c.,vv,n,n,,,C/V\.'C/V\
.viii.,v,n,n,,,C/V\
.viij.,v,n,n,,,C/V\
.viij.c,vv,n,n,,,C/V\.'C/V\
.vij.,v,n,n,,,C/V\
.vixx.,vv,n,n,Err:509,,C/V\.'C/V\
.x.,v,n,n,,,C/V\
.xc.,vsv,n,n,,,C/V\.C/e\.'C/V\
.xi.,vs,n,n,#NAME?,,'C/V\.C/e\
.xii.,vs,n,y,#NAME?,,'C/V\./(e)\
.xiii.,vs,n,y,,,'C/V\./(e)\
.xiiii.,vvs,n,n,#NAME?,,C/V\.'C/V\./e\
.xiiij.,vvs,n,y,,,C/V\.'C/V\./(e)\
.xiij.,vs,n,y,,,'C/V\./(e)\
.xij.,vs,n,y,,,'C/V\.C/(e)\
.xl.,vvs,n,y,quarante,,C/V\.'C/V\.C/(e)\
.xlvij.,vvsv,n,n,,,C/V\.C/V\.C/e\.'C/V\
.xv.,vs,n,y,,,'C/V\.C/(e)\
.xvi.,vs,n,y,,,'C/V\.C/(e)\
.xvje.,vvs,n,y,'=seizieme,,C/V\.'C/V\.C/(e)\
.xx.,v,n,n,,,C/V\
.xx.ii.,vv,n,n,,,C/V\.'C/V\
.xxii.,vv,n,n,'=vingt deux,,C/V\.'C/V\
.xxij.,vv,n,n,'-vingt-deux,,C/V\.'C/V\
.xxix.,vvv,n,n,#NAME?,,C/V\.C/V\.'C/V\
.xxx.,vs,n,y,#NAME?,,'C/V\.C/(e)\
·ddextris,vv,n,n,,,C/V\.'C/V\
·diables,vvs,n,n,,,C/V\.'C/V\.C/e\
·ffilz,v,n,n,,,C/V\
·ii·,v,n,n,,,C/V\
·iiime·,vvvs,n,y,troisieme,,C/V\.C/V\.'C/V\.C/(e)\
·l,,n,n,,,/\C
·ll',,n,n,,,C/\
·lla',v,n,n,,,C/V\
·llor,v,n,n,,,C/V\
·llos,v,n,n,,,C/V\
·ls,,n,n,,,/\C
·lz,,n,n,,,/\C
·m,,n,n,,,/\C
·mmespraes,vv,n,n,,,C/V\.'C/V\
·n,,n,n,,,/\C
·ppetdres,vs,n,n,,,'C/V\.C/e\
·s,,n,n,,,/\C
·se,s,n,y,,,C/(e)\
·sos,v,n,n,,,C/V\
·ss',,n,n,,,C/\
·sset,v,n,n,,,C/V\
·ssos,v,n,n,,,C/V\
·ssubr',v,n,n,,,C/V\
·ssusted,vv,n,n,,,C/V\.'C/V\
·trobed,vv,n,n,,,C/V\.'C/V\
·tt',,n,n,,,C/\
·ttrestoz,vv,n,n,,,C/V\.'C/V\
·v·,v,n,n,,,C/V\
·ve·,vvvs,n,y,cinquieme,,C/V\.C/V\.'C/V\.C/(e)\
·x·,v,n,n,,,C/V\
·xx·,v,n,n,,,C/V\
·xxx·,vs,n,n,,,'C/V\.C/e\
',,>,n,,,
‘,,>,n,,,
’,,>,n,,,
"""",,>,n,,,
“,,>,n,,,
„,,>,n,,,
«,,>,n,,,
»,,>,n,,,
(,,>,n,,,
),,>,n,,,
[,,>,n,,,
],,>,n,,,
/,,>,n,,,
|,,>,n,,,
a,v,y,n,,,/V\
A,v,y,n,letter name,,/V\
à,v,y,n,,,/V\
aage,av,y,n,,,/(V)\.'/V\
aages,avs,y,n,,,/(V)\.'/V\.C/e\
aaidier,avv,y,n,,,/(V)\./V\.'C/V\
aaige,avs,y,y,,,/(V)\.'/V\.C/(e)\
aairier,avv,y,n,,,/(V)\./V\.'C/V\
aaise,avs,y,y,,,/(V)\.'/V\.C/(e)\
aaisier,avv,y,n,,,/(V)\./V\.'C/V\
aaisies,avvs,y,n,,,/(V)\./V\.'C/V\./e\
aaissier,avv,y,n,,,/(V)\./V\.'C/V\
aalais,avv,y,n,,,/(V)\./V\.'C/V\
aaliz,vv,y,n,,,/V\.'C/V\
aama,avv,y,n,,,/(V)\./V\.'C/V\
aancré,avv,y,n,,,/(V)\./V\.'C/V\
aanz,av,y,n,,,/(V)\.'/V\
áánz,av,n,n,,,C/(V)\.'/V\
aaron,vv,y,n,,,/V\.'C/V\
aasmer,avv,y,n,,,/(V)\./V\.'C/V\
aates,avs,y,n,,,/(V)\.'/V\.C/e\
aati,avv,y,n,,,/(V)\./V\.'C/V\
aaties,avvs,y,n,,,/(V)\./V\.'C/V\./e\
aatis,avv,y,n,,,/(V)\./V\.'C/V\
aatist,avv,y,n,,,/(V)\./V\.'C/V\
ab,v,y,n,,,/V\
abachut,vvv,y,n,,,/V\.C/V\.'C/V\
abaie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abaissee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abaissent,vvs,y,n,,,/V\.'C/V\.C/e\
abaisser,vvv,y,n,,,/V\.C/V\.'C/V\
abaissera,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
abaisseroye,vvsvs,y,y,,,/V\.C/V\.C/e\.'C/V\./(e)\
abaissier,vvv,y,n,,,/V\.C/V\.'C/V\
abait,vv,y,n,,,/V\.'C/V\
abandon,vvv,y,n,,,/V\.C/V\.'C/V\
abandone,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abandoné,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonee,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\
abandonei,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandoneit,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonent,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
abandonna,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonnassent,vvvvs,y,n,,,/V\.C/V\.C/V\.'C/V\.C/e\
abandonne,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abandonné,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonnee,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\
abandonner,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonnez,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abandonnoye,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\
abandunez,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
abanz,vv,y,n,,,/V\.'C/V\
abat,vv,y,n,,,/V\.'C/V\
abatant,vvv,y,n,,,/V\.C/V\.'C/V\
abate,vvs,y,y,,,/V\.'C/V\.C/(e)\
abateis,vvhv,y,n,,,/V\.C/V\.C/(V)\.'/V\
abatent,vvs,y,n,,,/V\.'C/V\.C/e\
abati,vvv,y,n,,,/V\.C/V\.'C/V\
abatie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abatiet,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abatiét,vvv,y,n,,,/V\.C/V\.'C/V\
abatra,vvv,y,n,,,/V\.C/V\.'C/V\
abatre,vvs,y,y,,,/V\.'C/V\.C/(e)\
abatroit,vvv,y,n,,,/V\.C/V\.'C/V\
abatu,vvv,y,n,,,/V\.C/V\.'C/V\
abatue,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abatus,vvv,y,n,,,/V\.C/V\.'C/V\
abatuz,vvv,y,n,,,/V\.C/V\.'C/V\
abaty,vvv,y,n,,,/V\.C/V\.'C/V\
abaubis,vvv,y,n,,,/V\.C/V\.'C/V\
abaudi,vvv,y,n,,,/V\.C/V\.'C/V\
abaye,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abbaie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abbäs,vs,y,n,,,'/V\.C/e\
abbatu,vvv,y,n,,,/V\.C/V\.'C/V\
abbaye,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abbé,vv,y,n,,,/V\.'C/V\
abbeesse,vhvs,y,y,,,/V\.C/(V)\.'/V\.C/(e)\
abbeie,vhvs,y,y,,,/V\.C/(V)\.'/V\./(e)\
abbés,vv,y,n,,,/V\.'C/V\
abbesse,vvs,y,y,,,/V\.'C/V\.C/(e)\
abbét,vv,y,n,,,/V\.'C/V\
abbeye,vhvs,y,y,,,/V\.C/(V)\.'/V\./(e)\
abbez,vv,y,n,,,/V\.'C/V\
abé,vv,y,n,,,/V\.'C/V\
abeie,vhvs,y,y,,,/V\.C/(V)\.'/V\./(e)\
abel,vv,y,n,,,/V\.'C/V\
abelaier,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
abeli,vsv,y,n,,,/V\.C/e\.'C/V\
abenguete,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abergerie,vvsvs,y,y,,,/V\.C/V\.C/e\.'C/V\./(e)\
aberges,vvs,y,n,,,/V\.'C/V\.C/e\
abergier,vvv,y,n,,,/V\.C/V\.'C/V\
abes,vs,y,n,,,'/V\.C/e\
abés,vv,y,n,,,/V\.'C/V\
abesse,vvs,y,y,,,/V\.'C/V\.C/(e)\
abessé,vvv,y,n,,,/V\.C/V\.'C/V\
abesseroiz,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
abessiee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abét,vv,y,n,,,/V\.'C/V\
abéth,vv,y,n,,,/V\.'C/V\
abeuuree,vsvs,y,n,,,/V\.C/e\.'C/V\./e\
abevile,vsvs,y,y,,,/V\.C/e\.'C/V\.C/(e)\
abevree,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
abevroit,vsv,y,n,,,/V\.C/e\.'C/V\
abeye,vhvs,y,y,,,/V\.C/(V)\.'/V\./(e)\
abgarus,vvv,y,n,,,/V\.C/V\.'C/V\
abhominable,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\.C/(e)\
abien,vv,y,n,,,/V\.'C/V\
abilant,vvv,y,n,,,/V\.C/V\.'C/V\
abillé,vvv,y,n,,,/V\.C/V\.'C/V\
abillemens,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
abillement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
abiron,vvv,y,n,,,/V\.C/V\.'C/V\
abis,vv,y,n,,,/V\.'C/V\
abisme,vvs,y,y,,,/V\.'C/V\.C/(e)\
abismes,vvs,y,n,,,/V\.'C/V\.C/e\
abit,vv,y,n,,,/V\.'C/V\
abitacle,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abiter,vvv,y,n,,,/V\.C/V\.'C/V\
abitera,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
able,vs,y,y,,,'/V\.C/(e)\
abloccons,vvv,y,n,,,/V\.C/V\.'C/V\
aboier,vvv,y,n,,,/V\.C/V\.'C/V\
abolir,vvv,y,n,,,/V\.C/V\.'C/V\
abomeit,vvv,y,n,,,/V\.C/V\.'C/V\
abondance,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abondant,vvv,y,n,,,/V\.C/V\.'C/V\
abonde,vvs,y,y,,,/V\.'C/V\.C/(e)\
abondent,vvs,y,n,,,/V\.'C/V\.C/e\
aboutis,vvv,y,n,,,/V\.C/V\.'C/V\
abraham,vvv,y,n,,,/V\.C/V\.'C/V\
abre,vs,y,y,,,'/V\.C/(e)\
abrege,vvs,y,y,,,/V\.'C/V\.C/(e)\
abregier,vvv,y,n,,,/V\.C/V\.'C/V\
abrejance,vsvs,y,y,,,/V\.C/e\.'C/V\.C/(e)\
abrievé,vvv,y,n,,,/V\.C/V\.'C/V\
abrigeron,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
abrivé,vvv,y,n,,,/V\.C/V\.'C/V\
absallon,vvv,y,n,,,/V\.C/V\.'C/V\
absalon,vvv,y,n,,,/V\.C/V\.'C/V\
absense,vvs,y,y,,,/V\.'C/V\.C/(e)\
absentes,vvs,y,n,,,/V\.'C/V\.C/e\
absols,vv,y,n,,,/V\.'C/V\
absoluement,vvvsv,y,n,,,/V\.C/V\.C/V\.C/e\.'C/V\
absolument,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
absouldre,vvs,y,y,,,/V\.'C/V\.C/(e)\
abstenir,vsv,y,n,,,/V\.C/e\.'C/V\
abstinence,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abstinences,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
abundance,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
abus,vv,y,n,,,/V\.'C/V\
abuser,vvv,y,n,,,/V\.C/V\.'C/V\
abuses,vvs,y,n,,,/V\.'C/V\.C/e\
abusez,vvv,y,n,,,/V\.C/V\.'C/V\
abusions,vvdd,y,n,,,/V\.C/V\.C/{V}\.'/V\
abusoient,vvvs,y,n,,,/V\.C/V\.'C/V\./e\
abuvrer,vvv,y,n,,,/V\.C/V\.'C/V\
abuvrét,vvv,y,n,,,/V\.C/V\.'C/V\
abydas,vvv,y,n,,,/V\.C/V\.'C/V\
acaine,vvs,y,y,,,/V\.'C/V\.C/(e)\
acaintier,vvv,y,n,,,/V\.C/V\.'C/V\
acaire,vvs,y,y,,,/V\.'C/V\.C/(e)\
acaires,vvs,y,n,,,/V\.'C/V\.C/e\
acanlés,vvv,y,n,,,/V\.C/V\.'C/V\
acata,vvv,y,n,,,/V\.C/V\.'C/V\
acate,vvs,y,y,,,/V\.'C/V\.C/(e)\
acatet,vvs,y,y,,,/V\.'C/V\.C/(e)\
acceptablement,vvvsv,y,n,,,/V\.C/V\.C/V\.C/e\.'C/V\
acceptables,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
accidens,vvv,y,n,,,/V\.C/V\.'C/V\
accident,vvv,y,n,,,/V\.C/V\.'C/V\
accointa,vvv,y,n,,,/V\.C/V\.'C/V\
accointance,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
accollez,vvv,y,n,,,/V\.C/V\.'C/V\
accompaigna,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
accompaigné,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
accomplir,vvv,y,n,,,/V\.C/V\.'C/V\
accomplissement,vvvsv,y,n,,,/V\.C/V\.C/V\.C/e\.'C/V\
accord,vv,y,n,,,/V\.'C/V\
accorda,vvv,y,n,,,/V\.C/V\.'C/V\
accordable,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
accordé,vvv,y,n,,,/V\.C/V\.'C/V\
accordeir,vvv,y,n,,,/V\.C/V\.'C/V\
accorder,vvv,y,n,,,/V\.C/V\.'C/V\
accorderay,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
accorderent,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
accordez,vvv,y,n,,,/V\.C/V\.'C/V\
accors,vv,y,n,,,/V\.'C/V\
accort,vv,y,n,,,/V\.'C/V\
accourt,vv,y,n,,,/V\.'C/V\
accoustumez,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
accoyse,vvs,y,y,,,/V\.'C/V\.C/(e)\
accroistre,vvs,y,y,,,/V\.'C/V\.C/(e)\
accroit,vv,y,n,,,/V\.'C/V\
accueil,vv,y,n,,,/V\.'C/V\
accueillez,vvv,y,n,,,/V\.C/V\.'C/V\
accuntéd,vvv,y,n,,,/V\.C/V\.'C/V\
accuse,vvs,y,y,,,/V\.'C/V\.C/(e)\
accusee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
accuser,vvv,y,n,,,/V\.C/V\.'C/V\
accuseur,vvv,y,n,,,/V\.C/V\.'C/V\
ace,vs,y,y,,,'/V\.C/(e)\
aceminant,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
aceptable,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acer,vv,y,n,,,/V\.'C/V\
acerés,vsv,y,n,,,/V\.C/e\.'C/V\
acerez,vsv,y,n,,,/V\.C/e\.'C/V\
acers,vv,y,n,,,/V\.'C/V\
acertes,vvs,y,n,,,/V\.'C/V\.C/e\
acesmay,vvv,y,n,,,/V\.C/V\.'C/V\
acesmee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acesmer,vvv,y,n,,,/V\.C/V\.'C/V\
aceus,vv,y,n,,,/V\.'C/V\
achaicte,vvs,y,y,,,/V\.'C/V\.C/(e)\
achaipt,vv,y,n,,,/V\.'C/V\
achaison,vvv,y,n,,,/V\.C/V\.'C/V\
acharie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acharies,vvs,y,n,,,/V\.'C/V\./e\
acháries,vvs,y,n,,,/V\.'C/V\./e\
achat,vv,y,n,,,/V\.'C/V\
achata,vvv,y,n,,,/V\.C/V\.'C/V\
achate,vvs,y,y,,,/V\.'C/V\.C/(e)\
achateir,vvv,y,n,,,/V\.C/V\.'C/V\
achatent,vvs,y,n,,,/V\.'C/V\.C/e\
achatez,vvv,y,n,,,/V\.C/V\.'C/V\
achehmeiz,vvv,y,n,,,/V\.C/V\.'C/V\
acheisuna,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
achemina,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
acheminent,vsvs,y,n,,,/V\.C/e\.'C/V\.C/e\
acheminés,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
acheminez,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
achemynerent,vsvvs,y,n,,,/V\.C/e\.C/V\.'C/V\.C/e\
achepteres,vsvs,y,n,,,/V\.C/e\.'C/V\.C/e\
achernir,vvv,y,n,,,/V\.C/V\.'C/V\
acheta,vsv,y,n,,,/V\.C/e\.'C/V\
achetai,vsv,y,n,,,/V\.C/e\.'C/V\
acheté,vsv,y,n,,,/V\.C/e\.'C/V\
achetee,vsvs,y,y,,,/V\.C/e\.'C/V\./(e)\
acheter,vsv,y,n,,,/V\.C/e\.'C/V\
acheteray,vssv,y,n,,,/V\.C/e\.C/e\.'C/V\
acheteroie,vssvs,y,y,,,/V\.C/e\.C/e\.'C/V\./(e)\
achetisiez,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\
acheva,vsv,y,n,,,/V\.C/e\.'C/V\
acheve,vvs,y,y,,,/V\.'C/V\.C/(e)\
achevé,vsv,y,n,,,/V\.C/e\.'C/V\
achever,vsv,y,n,,,/V\.C/e\.'C/V\
achevons,vsv,y,n,,,/V\.C/e\.'C/V\
achief,vv,y,n,,,/V\.'C/V\
achier,vv,y,n,,,/V\.'C/V\
achiers,vv,y,n,,,/V\.'C/V\
achieve,vvs,y,y,,,/V\.'C/V\.C/(e)\
achilles,vvs,y,n,,,/V\.'C/V\.C/e\
achinte,vvs,y,y,,,/V\.'C/V\.C/(e)\
achoison,vvv,y,n,,,/V\.C/V\.'C/V\
achopart,vvv,y,n,,,/V\.C/V\.'C/V\
achoyson,vvv,y,n,,,/V\.C/V\.'C/V\
acier,vv,y,n,,,/V\.'C/V\
aciers,vv,y,n,,,/V\.'C/V\
aclin,vv,y,n,,,/V\.'C/V\
aclinét,vvv,y,n,,,/V\.C/V\.'C/V\
aclins,vv,y,n,,,/V\.'C/V\
aclose,vvs,y,y,,,/V\.'C/V\.C/(e)\
aclox,vv,y,n,,,/V\.'C/V\
acocha,vvv,y,n,,,/V\.C/V\.'C/V\
acoillent,vvs,y,n,,,/V\.'C/V\.C/e\
acoint,vv,y,n,,,/V\.'C/V\
acointai,vvv,y,n,,,/V\.C/V\.'C/V\
acointance,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acointas,vvv,y,n,,,/V\.C/V\.'C/V\
acointement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
acointent,vvs,y,n,,,/V\.'C/V\.C/e\
acointes,vvs,y,n,,,/V\.'C/V\.C/e\
acointés,vvv,y,n,,,/V\.C/V\.'C/V\
acointié,vvv,y,n,,,/V\.C/V\.'C/V\
acointier,vvv,y,n,,,/V\.C/V\.'C/V\
acola,vvv,y,n,,,/V\.C/V\.'C/V\
acolant,vvv,y,n,,,/V\.C/V\.'C/V\
acole,vvs,y,y,,,/V\.'C/V\.C/(e)\
acolé,vvv,y,n,,,/V\.C/V\.'C/V\
acoler,vvv,y,n,,,/V\.C/V\.'C/V\
acolés,vvv,y,n,,,/V\.C/V\.'C/V\
acolez,vvv,y,n,,,/V\.C/V\.'C/V\
acollee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acoller,vvv,y,n,,,/V\.C/V\.'C/V\
acollie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acolot,vvv,y,n,,,/V\.C/V\.'C/V\
acompagnie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\
acompagnier,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acompaigne,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acompaignee,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\
acompaignent,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
acompaigner,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acompaignier,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acompaingnier,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acompli,vvv,y,n,,,/V\.C/V\.'C/V\
acomplie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acomplir,vvv,y,n,,,/V\.C/V\.'C/V\
acomplis,vvv,y,n,,,/V\.C/V\.'C/V\
acomplisse,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acomplissement,vvvsv,y,n,,,/V\.C/V\.C/V\.C/e\.'C/V\
acomplit,vvv,y,n,,,/V\.C/V\.'C/V\
acomply,vvv,y,n,,,/V\.C/V\.'C/V\
acomplye,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acompte,vvs,y,y,,,/V\.'C/V\.C/(e)\
acomunier,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
aconpaigniés,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
aconpli,vvv,y,n,,,/V\.C/V\.'C/V\
aconplie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
aconplir,vvv,y,n,,,/V\.C/V\.'C/V\
aconseue,vvhvs,y,y,,,/V\.C/V\.C/(V)\.'/V\./(e)\
acontai,vvv,y,n,,,/V\.C/V\.'C/V\
aconte,vvs,y,y,,,/V\.'C/V\.C/(e)\
acontement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
aconter,vvv,y,n,,,/V\.C/V\.'C/V\
acontoit,vvv,y,n,,,/V\.C/V\.'C/V\
acop,vv,y,n,,,/V\.'C/V\
acorant,vvv,y,n,,,/V\.C/V\.'C/V\
acord,vv,y,n,,,/V\.'C/V\
acorda,vvv,y,n,,,/V\.C/V\.'C/V\
acordance,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acordase,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acordasse,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
acorday,vvv,y,n,,,/V\.C/V\.'C/V\
acorde,vvs,y,y,,,/V\.'C/V\.C/(e)\
acordé,vvv,y,n,,,/V\.C/V\.'C/V\
acordee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acordent,vvs,y,n,,,/V\.'C/V\.C/e\
acorder,vvv,y,n,,,/V\.C/V\.'C/V\
acorderent,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
acordés,vvv,y,n,,,/V\.C/V\.'C/V\
acordez,vvv,y,n,,,/V\.C/V\.'C/V\
acordoit,vvv,y,n,,,/V\.C/V\.'C/V\
acordons,vvv,y,n,,,/V\.C/V\.'C/V\
acorre,vvs,y,y,,,/V\.'C/V\.C/(e)\
acort,vv,y,n,,,/V\.'C/V\
acorut,vvv,y,n,,,/V\.C/V\.'C/V\
acostés,vvv,y,n,,,/V\.C/V\.'C/V\
acostumance,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\.C/(e)\
acotez,vvv,y,n,,,/V\.C/V\.'C/V\
acouché,vvv,y,n,,,/V\.C/V\.'C/V\
acouppler,vvv,y,n,,,/V\.C/V\.'C/V\
acourant,vvv,y,n,,,/V\.C/V\.'C/V\
acourcier,vvv,y,n,,,/V\.C/V\.'C/V\
acourés,vvv,y,n,,,/V\.C/V\.'C/V\
acourir,vvv,y,n,,,/V\.C/V\.'C/V\
acouroient,vvvs,y,n,,,/V\.C/V\.'C/V\./e\
acourra,vvv,y,n,,,/V\.C/V\.'C/V\
acourt,vv,y,n,,,/V\.'C/V\
acouru,vvv,y,n,,,/V\.C/V\.'C/V\
acoustrement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
acoustuma,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acoustumance,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\.C/(e)\
acoustumances,vvvvs,y,n,,,/V\.C/V\.C/V\.'C/V\.C/e\
acoustumé,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acoutee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acoutés,vvv,y,n,,,/V\.C/V\.'C/V\
acoutré,vvv,y,n,,,/V\.C/V\.'C/V\
acoutree,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\
acouvetez,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\
acquerant,vsv,y,n,,,/V\.C/e\.'C/V\
acquere,vvs,y,n,,,/V\.'C/V\.C/e\
acquerir,vsv,y,n,,,/V\.C/e\.'C/V\
acquerre,vvs,y,y,,,/V\.'C/V\.C/(e)\
acquerroie,vsvs,y,n,,,/V\.C/e\.'C/V\./e\
acquert,vv,y,n,,,/V\.'C/V\
acquest,vv,y,n,,,/V\.'C/V\
acqueult,vv,y,n,,,/V\.'C/V\
acquier,vv,y,n,,,/V\.'C/V\
acquiere,vvs,y,y,,,/V\.'C/V\.C/(e)\
acquierent,vvs,y,n,,,/V\.'C/V\.C/e\
acquiers,vv,y,n,,,/V\.'C/V\
acquiert,vv,y,n,,,/V\.'C/V\
acquiesser,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
acquieueir,vvv,y,n,,,/V\.C/V\.'C/V\
