lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified,syllabified
enchantement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\,/V\.C/V\.C/e\.'C/V\
enchanteur,vvhv,y,n,,,/V\.C/V\.C/(V)\.'/V\,/V\.C/V\.C/(V)\.'/V\
enragés,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
enseignant,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
ensejourner,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
ensuivans,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
ensuyvantes,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
ensuyvir,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
entretenus,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\,/V\.C/e\.C/V\.'C/V\
epydimie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
espanouie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
espelle,vvs,y,y,,,/V\.'C/V\.C/(e)\,/V\.'C/V\.C/(e)\
estimer,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
eufemie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
euphemie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
exaulcee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
excité,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
executer,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
extraict,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
faitz,v,n,n,,,C/V\,C/V\
fineroye,vsvs,n,y,,,C/V\.C/e\.'C/V\./(e)\,C/V\.C/e\.'C/V\./(e)\
frappé,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
garies,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
gariroit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
gaulle,vs,n,y,,,'C/V\.C/(e)\,'C/V\.C/(e)\
gemissemens,vvsv,n,n,,,C/V\.C/V\.C/e\.'C/V\,C/V\.C/V\.C/e\.'C/V\
guary,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
gueriroit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
habitacle,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\,/V\.C/V\.'C/V\.C/(e)\
idolatres,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
idolatrie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
ignorer,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
imparfaicte,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\,/V\.C/V\.'C/V\.C/(e)\
imperateur,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
infaictes,vvs,y,n,,,/V\.'C/V\.C/e\,/V\.'C/V\.C/e\
infection,vvdd,y,n,,,/V\.C/V\.C/{V}\.'/V\,/V\.C/V\.C/{V}\.'/V\
iniques,vvs,y,n,,,/V\.'C/V\.C/e\,/V\.'C/V\.C/e\
jesu-crist,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
jeusnes,vs,n,n,,,'C/V\.C/e\,'C/V\.C/e\
langueurs,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
lict,v,n,n,,,C/V\,C/V\
maintiennent,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
malediction,vvvdd,n,n,,,C/V\.C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/V\.C/{V}\.'/V\
mandoit,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
maximien,vvdd,n,n,,,C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/{V}\.'/V\
mension,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
merciant,vdd,n,n,,,C/V\.C/{V}\.'/V\,C/V\.C/{V}\.'/V\
meschanse,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
meseaulx,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
meurtrie,vvs,n,y,,,C/V\.'C/V\./(e)\,C/V\.'C/V\./(e)\
mouroient,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
natif,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
nompas,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
opinions,vvdd,y,n,,,/V\.C/V\.C/{V}\.'/V\,/V\.C/V\.C/{V}\.'/V\
oraisons,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
ouye,vvs,y,y,,,/V\.'C/V\./(e)\,/V\.'C/V\./(e)\
ouyr,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
ouyr,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
parfaitz,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
payenne,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
perdition,vvdd,n,n,,,C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/{V}\.'/V\
peries,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
persecuter,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
persecuteur,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
pestes,vs,n,n,,,'C/V\.C/e\,'C/V\.C/e\
pleurans,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
policarpe,vvvs,n,y,,,C/V\.C/V\.'C/V\.C/(e)\,C/V\.C/V\.'C/V\.C/(e)\
pourchasse,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
pourraient,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
pouvrement,vsv,n,n,,,C/V\.C/e\.'C/V\,C/V\.C/e\.'C/V\
prescha,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
preschant,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
proffitz,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
promesses,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
promettre,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
promirent,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
prouffitz,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
prouver,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
prudences,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
prudent,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
racompta,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
ramener,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
reçeurent,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
refusoit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
regretz,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
remple,vs,n,y,,,'C/V\.C/(e)\,'C/V\.C/(e)\
rendans,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
revellation,vvvdd,n,n,,,C/V\.C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/V\.C/{V}\.'/V\
rommain,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
sachans,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
sacrifice,vvvs,n,y,,,C/V\.C/V\.'C/V\.C/(e)\,C/V\.C/V\.'C/V\.C/(e)\
sagesse,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
saluant,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
saluerent,vvvs,n,n,,,C/V\.C/V\.'C/V\.C/e\,C/V\.C/V\.'C/V\.C/e\
sanctifier,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
sauldroit,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
sçet,v,n,n,,,C/V\,C/V\
sçeusse,hvs,n,y,,,C/(V)\.'/V\.C/(e)\,C/(V)\.'/V\.C/(e)\
sçeut,v,n,n,,,C/V\,C/V\
servons,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
soupirant,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
suffisamment,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
supplioit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
supplye,vvs,n,y,,,C/V\.'C/V\./(e)\,C/V\.'C/V\./(e)\
supporta,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
teust,hv,n,n,,,C/(V)\.'/V\,C/(V)\.'/V\
ungz,v,y,n,,,/V\,/V\
verroient,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
villaige,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
visitoit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
ydolatrie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
ydolles,vvs,y,n,,,/V\.'C/V\.C/e\,/V\.'C/V\.C/e\
